#,ID,NAME,UNCONSTRAINED,MIRIAM,COMPOSITION,InChI,COMPARTMENT,REPLACEMENT ID,CHARGE,SMILES,MNXM_ID,chebi_id,kegg_id,metMetaNetXID_new,standard_smiles,inchikey0
,(1->3)-beta-D-glucan[ce],(1->3)-beta-D-glucan,,bigg.metabolite/13BDglcn;chebi/CHEBI:37671;kegg.compound/C00965;metanetx.chemical/MNXM6492;sbo/SBO:0000247,C6H10O5,,ce,s_0001,0.0,,MNXM6492,CHEBI:37671,C00965,MNXM733730,,
,(1->3)-beta-D-glucan[c],(1->3)-beta-D-glucan,,bigg.metabolite/13BDglcn;chebi/CHEBI:37671;kegg.compound/C00965;metanetx.chemical/MNXM6492;sbo/SBO:0000247,C6H10O5,,c,s_0002,0.0,,MNXM6492,CHEBI:37671,C00965,MNXM733730,,
,(1->3)-beta-D-glucan[e],(1->3)-beta-D-glucan,,bigg.metabolite/13BDglcn;chebi/CHEBI:37671;kegg.compound/C00965;metanetx.chemical/MNXM6492;sbo/SBO:0000247,C6H10O5,,e,s_0003,0.0,,MNXM6492,CHEBI:37671,C00965,MNXM733730,,
,(1->6)-beta-D-glucan[ce],(1->6)-beta-D-glucan,,bigg.metabolite/16BDglcn;chebi/CHEBI:27380;kegg.compound/C02493;metanetx.chemical/MNXM9375;sbo/SBO:0000247,C6H10O5,,ce,s_0004,0.0,,MNXM9375,CHEBI:27380,C02493,MNXM733730,,
,"(2-amino-4-hydroxy-7,8-dihydropteridin-6-yl)methyl trihydrogen diphosphate[m]","(2-amino-4-hydroxy-7,8-dihydropteridin-6-yl)methyl trihydrogen diphosphate",,bigg.metabolite/2ahhmd;chebi/CHEBI:57602;kegg.compound/C04807;metanetx.chemical/MNXM1160;sbo/SBO:0000247,C7H8N5O8P2,,m,s_0006,-3.0,Nc1nc2c(c(=O)[nH]1)N=C(COP(=O)(O)OP(=O)(O)O)CN2,MNXM1160,CHEBI:57602,C04807,MNXM727068,Nc1nc2c(c(=O)[nH]1)N=C(COP(=O)(O)OP(=O)(O)O)CN2,FCQGJGLSOWZZON
,(2E)-3-(methoxycarbonyl)pent-2-enedioic acid[c],(2E)-3-(methoxycarbonyl)pent-2-enedioic acid,,bigg.metabolite/aconm;chebi/CHEBI:57470;kegg.compound/C11514;metanetx.chemical/MNXM3742;sbo/SBO:0000247,C7H6O6,,c,s_0007,-2.0,COC(=O)C(=CC(=O)O)CC(=O)O,MNXM3742,CHEBI:57470,C11514,MNXM735058,COC(=O)C(=CC(=O)O)CC(=O)O,BRYKYSQCLNCYQW
,"(2R,3R)-2,3-dihydroxy-3-methylpentanoate[m]","(2R,3R)-2,3-dihydroxy-3-methylpentanoate",,bigg.metabolite/23dhmp;chebi/CHEBI:49258;kegg.compound/C06007;metanetx.chemical/MNXM1202;sbo/SBO:0000247,C6H11O4,,m,s_0008,-1.0,CCC(C)(O)C(O)C(=O)[O-],MNXM1202,CHEBI:49258,C06007,,CCC(C)(O)C(O)C(=O)[O-],PDGXJDXVGMHUIR
,"(2R,3S)-3-isopropylmalate[c]","(2R,3S)-3-isopropylmalate",,bigg.metabolite/3c2hmp;chebi/CHEBI:35121;kegg.compound/C04411;metanetx.chemical/MNXM891;sbo/SBO:0000247,C7H10O5,,c,s_0009,-2.0,CC(C)C(C(=O)[O-])C(O)C(=O)[O-],MNXM891,CHEBI:35121,C04411,MNXM741108,CC(C)C(C(=O)[O-])C(O)C(=O)[O-],RNQHMTFBUSSBJQ
,(2S)-2-isopropyl-3-oxosuccinate[c],(2S)-2-isopropyl-3-oxosuccinate,,bigg.metabolite/3c4mop;chebi/CHEBI:17214;kegg.compound/C04236;metanetx.chemical/MNXM1602;sbo/SBO:0000247,C7H8O5,,c,s_0010,-2.0,CC(C)C(C(=O)O)C(=O)C(=O)O,MNXM1602,CHEBI:17214,C04236,,CC(C)C(C(=O)O)C(=O)C(=O)O,HIIZAGQWABAMRR
,(2S)-2-isopropyl-3-oxosuccinate[m],(2S)-2-isopropyl-3-oxosuccinate,,bigg.metabolite/3c4mop;chebi/CHEBI:17214;kegg.compound/C04236;metanetx.chemical/MNXM1602;sbo/SBO:0000247,C7H8O5,,m,s_0011,-2.0,CC(C)C(C(=O)O)C(=O)C(=O)O,MNXM1602,CHEBI:17214,C04236,,CC(C)C(C(=O)O)C(=O)C(=O)O,HIIZAGQWABAMRR
