ID,NAME,SMILES,inchikey
YMDB00001,5'-Phosphoribosyl-N-formylglycinamide,[H]O[C@@]1([H])[C@@]([H])(O[C@]([H])(C([H])([H])OP(=O)(O[H])O[H])[C@@]1([H])O[H])N([H])C(=O)C([H])([H])N([H])C([H])=O,VDXLUNDMVKSKHO-XVFCMESISA-N
YMDB00002,L-Glutamine,[H]OC(=O)[C@@]([H])(N([H])[H])C([H])([H])C([H])([H])C(=O)N([H])[H],ZDXPYRJPNDTMRX-VKHMYHEASA-N
YMDB00003,Urea,[H]N([H])C(=O)N([H])[H],XSQUKJJJFZCRTK-UHFFFAOYSA-N
YMDB00004,Galactose 1-phosphate,[H]OC([H])([H])[C@@]1([H])O[C@]([H])(OP(=O)(O[H])O[H])[C@]([H])(O[H])[C@@]([H])(O[H])[C@@]1([H])O[H],HXXFSFRBOHSIMQ-FPRJBGLDSA-N
YMDB00005,Sulfate,[O-]S([O-])(=O)=O,QAOWNCQODCNURD-UHFFFAOYSA-L
YMDB00006,"1D-Myo-inositol 1,4,5,6-tetrakisphosphate",[H]O[C@@]1([H])[C@@]([H])(O[H])[C@@]([H])(OP(=O)(O[H])O[H])[C@]([H])(OP(=O)(O[H])O[H])[C@@]([H])(OP(=O)(O[H])O[H])[C@]1([H])OP(=O)(O[H])O[H],MRVYFOANPDTYBY-YORTWTKJSA-N
YMDB00007,Quinolinic acid,[H]OC(=O)C1=NC([H])=C([H])C([H])=C1C(=O)O[H],GJAWHXHKYYXBSV-UHFFFAOYSA-N
YMDB00008,Trehalose,[H]OC([H])([H])[C@@]1([H])O[C@]([H])(O[C@@]2([H])O[C@]([H])(C([H])([H])O[H])[C@@]([H])(O[H])[C@]([H])(O[H])[C@@]2([H])O[H])[C@]([H])(O[H])[C@@]([H])(O[H])[C@]1([H])O[H],HDTRYLNUVZCQOY-LIZSDCNHSA-N
YMDB00009,Ethanolamine,[H]OC([H])([H])C([H])([H])N([H])[H],HZAXFHJVJLSVMW-UHFFFAOYSA-N
YMDB00010,"4-(2-Aminophenyl)-2,4-dioxobutanoic acid",[H]OC(=O)C(=O)C([H])([H])C(=O)C1=C(N([H])[H])C([H])=C([H])C([H])=C1[H],CAOVWYZQMPNAFJ-UHFFFAOYSA-N
YMDB00011,"D-Fructose 2,6-bisphosphate",[H]OC([H])([H])[C@@]1(OP(=O)(O[H])O[H])O[C@]([H])(C([H])([H])OP(=O)(O[H])O[H])[C@@]([H])(O[H])[C@]1([H])O[H],YXWOAJXNVLXPMU-ZXXMMSQZSA-N
YMDB00012,Adenylsuccinic acid,[H]OC(=O)C([H])([H])C([H])(N([H])C1=NC([H])=NC2=C1N=C([H])N2[C@]1([H])O[C@]([H])(C([H])([H])OP(=O)(O[H])O[H])[C@@]([H])(O[H])[C@@]1([H])O[H])C(=O)O[H],OFBHPPMPBOJXRT-DPXQIYNJSA-N
YMDB00013,5-Diphosphoinositol pentakisphosphate,[H]OP(=O)(O[H])O[C@]1([H])[C@]([H])(OP(=O)(O[H])O[H])[C@@]([H])(OP(=O)(O[H])O[H])[C@]([H])(OP(=O)(O[H])OP(=O)(O[H])O[H])[C@@]([H])(OP(=O)(O[H])O[H])[C@]1([H])OP(=O)(O[H])O[H],UPHPWXPNZIOZJL-KXXVROSKSA-N
YMDB00014,"D-arabinono-1,4-lactone",OC[C@H]1OC(=O)[C@@H](O)[C@@H]1O,CUOKHACJLGPRHD-JJYYJPOSSA-N
YMDB00015,"Delta 8,14 -Sterol",[H]O[C@@]1([H])C([H])([H])C([H])([H])[C@@]2(C3=C(C4=C([H])C([H])([H])[C@]([H])([C@]([H])(C([H])([H])[H])C([H])([H])C([H])([H])C(=C([H])[H])C([H])(C([H])([H])[H])C([H])([H])[H])[C@@]4(C([H])([H])[H])C([H])([H])C3([H])[H])C([H])([H])C([H])([H])[C@@]2([H])[C@]1([H])C([H])([H])[H])C([H])([H])[H],HLAWVOWADPNAGN-BAHZUFOISA-N
YMDB00016,Glycine,[H]OC(=O)C([H])([H])N([H])[H],DHMQDGOQFOQNFH-UHFFFAOYSA-N
YMDB00017,2-(3-Carboxy-3-aminopropyl)-L-histidine ,[H]OC(=O)[C@@]([H])(N([H])[H])C([H])([H])C1=C([H])N=C(N1[H])C([H])([H])C([H])([H])C([H])(N([H])[H])C(=O)O[H],CJCSNWWKPUXVRD-MLWJPKLSSA-N
YMDB00018,Dihydroxyacetone,[H]OC([H])([H])C(=O)C([H])([H])O[H],RXKJFZQQPQGTFL-UHFFFAOYSA-N
YMDB00019,Saccharopine,[H]OC(=O)C([H])([H])C([H])([H])[C@]([H])(N([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[C@]([H])(N([H])[H])C(=O)O[H])C(=O)O[H],ZDGJAHTZVHVLOT-YUMQZZPRSA-N
YMDB00020,Sodium,[Na+],FKNQFGJONOIPTF-UHFFFAOYSA-N
YMDB00021,precorrin-1,C[C@]1(CC(O)=O)[C@H](CCC(O)=O)C2=N\C1=C/C1=C(CC(O)=O)C(CCC(O)=O)=C(CC3=C(CCC(O)=O)C(CC(O)=O)=C(CC4=C(CCC(O)=O)C(CC(O)=O)=C(C2)N4)N3)N1,CJLVUWULFKHGFB-NZCAJUPMSA-N
YMDB00022,Acetaldehyde,[H]C(=O)C([H])([H])[H],IKHGUXGNUITLKF-UHFFFAOYSA-N
YMDB00023,"3',5'-cyclic AMP",NC1=NC=NC2=C1N=CN2[C@@H]1O[C@@H]2COP(O)(=O)O[C@H]2[C@H]1O,IVOMOUWHDPKRLL-KQYNXXCUSA-N
YMDB00024,"5-(methylsulfanyl)-2,3-dioxopentyl phosphate",CSCCC(=O)C(=O)COP(O)(O)=O,HKEAOVFNWRDVAJ-UHFFFAOYSA-N
YMDB00025,Orotidylic acid,[H]OC(=O)C1=C([H])C(=O)N([H])C(=O)N1[C@]1([H])O[C@]([H])(C([H])([H])OP(=O)(O[H])O[H])[C@@]([H])(O[H])[C@@]1([H])O[H],KYOBSHFOBAOFBF-XVFCMESISA-N
YMDB00026,Isocitric acid,[H]OC(=O)C([H])([H])C([H])(C(=O)O[H])C([H])(O[H])C(=O)O[H],ODBLHEXUDAPZAU-UHFFFAOYSA-N
YMDB00027,Ureidosuccinic acid,[H]OC(=O)C([H])([H])[C@]([H])(N([H])C(=O)N([H])[H])C(=O)O[H],HLKXYZVTANABHZ-REOHCLBHSA-N
YMDB00028,N-Acetylornithine,[H]OC(=O)[C@@]([H])(N([H])C(=O)C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])N([H])[H],JRLGPAXAGHMNOL-LURJTMIESA-N
YMDB00029,ADP-D-ribose 1''-phosphate,NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](COP(O)(=O)OP(O)(=O)OC[C@H]2O[C@H](OP(O)(O)=O)[C@H](O)[C@@H]2O)[C@@H](O)[C@H]1O,CUNFRFHBHMFVPH-KEOHHSTQSA-N
YMDB00030,Dihydrobiopterin,[H]OC([H])(C1=NC2=C(N=C(N([H])[H])N([H])C2=O)N([H])C1([H])[H])C([H])(O[H])C([H])([H])[H],FEMXZDUTFRTWPE-UHFFFAOYSA-N
YMDB00031,7-phospho-2-dehydro-3-deoxy-D-arabino-heptonic acid,O[C@H](COP(O)(O)=O)[C@@H](O)[C@H](O)CC(=O)C(O)=O,PJWIPEXIFFQAQZ-PUFIMZNGSA-N
