ID,inchikey,SMILES,NAME,super_class,class
YMDB00001,VDXLUNDMVKSKHO-XVFCMESISA-N,[H]O[C@@]1([H])[C@@]([H])(O[C@]([H])(C([H])([H])OP(=O)(O[H])O[H])[C@@]1([H])O[H])N([H])C(=O)C([H])([H])N([H])C([H])=O,5'-phosphoribosyl-n-formylglycinamide,"Nucleosides, nucleotides, and analogues",Glycinamide ribonucleotides
YMDB00002,ZDXPYRJPNDTMRX-VKHMYHEASA-N,[H]OC(=O)[C@@]([H])(N([H])[H])C([H])([H])C([H])([H])C(=O)N([H])[H],l-glutamine,Organic acids and derivatives,Carboxylic acids and derivatives
YMDB00003,XSQUKJJJFZCRTK-UHFFFAOYSA-N,[H]N([H])C(=O)N([H])[H],urea,Organic acids and derivatives,Organic carbonic acids and derivatives
YMDB00004,HXXFSFRBOHSIMQ-FPRJBGLDSA-N,[H]OC([H])([H])[C@@]1([H])O[C@]([H])(OP(=O)(O[H])O[H])[C@]([H])(O[H])[C@@]([H])(O[H])[C@@]1([H])O[H],galactose 1-phosphate,Organic oxygen compounds,Organooxygen compounds
YMDB00005,QAOWNCQODCNURD-UHFFFAOYSA-L,[O-]S([O-])(=O)=O,sulfate,Homogeneous non-metal compounds,Non-metal oxoanionic compounds
YMDB00006,MRVYFOANPDTYBY-YORTWTKJSA-N,[H]O[C@@]1([H])[C@@]([H])(O[H])[C@@]([H])(OP(=O)(O[H])O[H])[C@]([H])(OP(=O)(O[H])O[H])[C@@]([H])(OP(=O)(O[H])O[H])[C@]1([H])OP(=O)(O[H])O[H],"1d-myo-inositol 1,4,5,6-tetrakisphosphate",Organic oxygen compounds,Organooxygen compounds
YMDB00007,GJAWHXHKYYXBSV-UHFFFAOYSA-N,[H]OC(=O)C1=NC([H])=C([H])C([H])=C1C(=O)O[H],quinolinic acid,Organoheterocyclic compounds,Pyridines and derivatives
YMDB00008,HDTRYLNUVZCQOY-LIZSDCNHSA-N,[H]OC([H])([H])[C@@]1([H])O[C@]([H])(O[C@@]2([H])O[C@]([H])(C([H])([H])O[H])[C@@]([H])(O[H])[C@]([H])(O[H])[C@@]2([H])O[H])[C@]([H])(O[H])[C@@]([H])(O[H])[C@]1([H])O[H],trehalose,Organic oxygen compounds,Organooxygen compounds
YMDB00009,HZAXFHJVJLSVMW-UHFFFAOYSA-N,[H]OC([H])([H])C([H])([H])N([H])[H],ethanolamine,Organic nitrogen compounds,Organonitrogen compounds
YMDB00010,CAOVWYZQMPNAFJ-UHFFFAOYSA-N,[H]OC(=O)C(=O)C([H])([H])C(=O)C1=C(N([H])[H])C([H])=C([H])C([H])=C1[H],"4-(2-aminophenyl)-2,4-dioxobutanoic acid",Organic oxygen compounds,Organooxygen compounds
