Product name,Predicted reaction ID,Predicted reaction,IgnoreMet,Predicted genes of reaction
"1,3,5-Trihydroxyxanthone",1,O=c1c2cccc(O)c2oc2cc(O)cc(O)c12.O=O>>O.O=c1c2c(O)cc(O)cc2oc2c(O)ccc(O)c12,H(+) + NADPH>>NADP(+),"['YCL001W', 'YHR007C', 'YAL064W', 'YGR175C', 'YJL151C']"
"1,3,5-Trihydroxyxanthone",2,O=c1c2cccc(O)c2oc2cc(O)cc(O)c12.O=O>>O.O=c1c2ccc(O)c(O)c2oc2cc(O)cc(O)c12,H(+) + NADPH>>NADP(+),"['YCL001W', 'YHR007C', 'YAL064W', 'YGR175C', 'YJL151C']"
"1,3,5-Trihydroxyxanthone",3,O=c1c2cccc(O)c2oc2cc(O)cc(O)c12>>O=C1C[C@@H](O)Cc2oc3c(O)cccc3c(=O)c21,H(+) + NADPH>>NADP(+),"['YDR536W', 'YLR174W', 'YHR183W', 'YJL214W', 'YJR096W', 'YNL241C', 'YOR100C', 'YIL074C', 'YKL029C', 'YDL066W', 'YAL060W', 'YNL037C', 'YBR159W', 'YCL018W', 'YJR159W', 'YDR368W', 'YNL318C', 'YMR041C', 'YLR100W', 'YDR387C', 'YOR246C', 'YKR009C', 'YOL126C', 'YNL009W', 'YEL069C', 'YIR035C', 'YDL022W', 'YFL011W', 'YDL114W', 'YOL156W', 'YBR149W', 'YJR139C', 'YNL274C', 'YGL001C', 'YMR011W', 'YER081W', 'YMR318C', 'YLR081W', 'YGL256W', 'YAL061W', 'YOR120W', 'YDL168W', 'YOL151W', 'YDR345C', 'YML056C', 'YHR063C', 'YPL088W', 'YCR107W', 'YCR105W', 'YDL144C', 'YDR342C', 'YNR073C', 'YLR426W', 'YNL331C', 'YBR145W', 'YHR092C', 'YLR432W', 'YMR303C', 'YGR256W', 'YNR072W', 'YDR343C', 'YIL094C', 'YDL078C', 'YLR070C', 'YBR265W', 'YEL070W', 'YJL219W', 'YJR155W', 'YJR158W', 'YIR036C', 'YMR083W', 'YFL058W', 'YOR136W', 'YBR153W', 'YLR450W', 'YDL246C', 'YLR355C', 'YOL165C', 'YML075C', 'YDL243C', 'YMR226C', 'YIL124W', 'YGL077C', 'YOL059W', 'YHR216W', 'YPR127W', 'YHR094C', 'YKL071W', 'YGR215W', 'YOL086C', 'YDL245C', 'YKL085W', 'YHR104W']"
"1,3,5-Trihydroxyxanthone",4,O=c1c2cccc(O)c2oc2cc(O)cc(O)c12.O=O>>O.O=c1c2cccc(O)c2oc2cc(O)c(O)c(O)c12,NADH + H(+)>>NAD(+),"['YBL098W', 'YNR053C', 'YCL059C', 'YHR176W', 'YOL114C', 'YLL057C', 'YBR298C', 'YDR534C', 'YLR281C', 'YDR402C']"
"1,3,5-Trihydroxyxanthone",5,O=c1c2cccc(O)c2oc2cc(O)cc(O)c12.O=O>>O.O=c1c2cccc(O)c2oc2c(O)c(O)cc(O)c12,NADH + H(+)>>NAD(+),"['YBL098W', 'YNR053C', 'YCL059C', 'YHR176W', 'YOL114C', 'YLL057C', 'YBR298C', 'YDR534C', 'YLR281C', 'YDR402C']"
"1,3,5-Trihydroxyxanthone",6,O=c1c2cccc(O)c2oc2cc(O)cc(O)c12.O=O>>O.O=c1c2cc(O)cc(O)c2oc2cc(O)cc(O)c12,H(+) + NADPH>>NADP(+),"['YBL098W', 'YNR053C', 'YCL059C', 'YHR176W', 'YOL114C', 'YLL057C', 'YBR298C', 'YDR534C', 'YLR281C', 'YDR402C']"
"1,3,5-Trihydroxyxanthone",7,O=c1c2cccc(O)c2oc2cc(O)cc(O)c12.O=O>>O.O=C1C([O-])=CC(=O)c2c1oc1c(O)cccc1c2=O,>>H(+),"['YJR149W', 'YIL173W', 'YJL222W']"
"1,3,5-Trihydroxyxanthone",8,O=c1c2cccc(O)c2oc2cc(O)cc(O)c12.[H]O[H]>>O=c1c2cccc(O)c2oc2cccc(O)c12.OO,>>,"['YNL131W', 'YPL098C', 'YPR020W']"
"1,3,5-Trihydroxyxanthone",9,O=c1c2cccc(O)c2oc2cc(O)cc(O)c12.[H]O[H]>>O=c1c2ccc(O)cc2oc2c(O)cccc12.OO,>>,"['YNL131W', 'YPL098C', 'YPR020W']"
"1,3,5-Trihydroxyxanthone",10,O=c1c2cccc(O)c2oc2cc(O)cc(O)c12.[H]O[H]>>O=c1c2ccccc2oc2cc(O)cc(O)c12.OO,>>,"['YNL131W', 'YPL098C', 'YPR020W']"
