Product name,Predicted reaction ID,Predicted reaction,IgnoreMet,Predicted genes of reaction
Docosahexaenoate,1,CCC=CCC=CCC=CCC=CCC=CCC=CCCC(=O)O>>CCC=CCC=CCC=CCCC/C=C/C=C/C=C\CCC(=O)O,>>,"['YPL117C', 'YLR284C', 'YOR180C']"
Docosahexaenoate,2,CCC=CCC=CCC=CCC=CCC=CCC=CCCC(=O)O>>CCC=CC/C=C\C=C\C=C\CCCC=CCC=CCCC(=O)O,>>,"['YPL117C', 'YLR284C', 'YOR180C']"
Docosahexaenoate,3,CCC=CCC=CCC=CCC=CCC=CCC=CCCC(=O)O>>CCC=CCCC/C=C/C=C/C=C\CC=CCC=CCCC(=O)O,>>,"['YPL117C', 'YLR284C', 'YOR180C']"
Docosahexaenoate,4,CCC=CCC=CCC=CCC=CCC=CCC=CCCC(=O)O>>CCC=CCC=CC/C=C\C=C\C=C\CCCC=CCCC(=O)O,>>,"['YPL117C', 'YLR284C', 'YOR180C']"
Docosahexaenoate,5,CCC=CCC=CCC=CCC=CCC=CCC=CCCC(=O)O>>CC/C=C\C=C\C=C\CCCC=CCC=CCC=CCCC(=O)O,>>,"['YPL117C', 'YLR284C', 'YOR180C']"
Docosahexaenoate,6,CCC=CCC=CCC=CCC=CCC=CCC=CCCC(=O)O>>CCC=CCC=CCCC/C=C/C=C/C=C\CC=CCCC(=O)O,>>,"['YPL117C', 'YLR284C', 'YOR180C']"
Docosahexaenoate,7,CCC=CCC=CCC=CCC=CCC=CCC=CCCC(=O)O.O=O>>CCC=CCC=CCC=CCC=CC/C=C\C=C\[C@H](CCC(=O)O)OO,>>,"['YMR009W', 'YJR078W', 'YJR025C', 'YMR009W', 'YJR078W', 'YJR025C', 'YMR009W', 'YJR078W', 'YJR025C']"
Docosahexaenoate,8,CCC=CCC=CCC=CCC=CCC=CCC=CCCC(=O)O.O=O>>CCC=CCC=CCC=CC/C=C\C=C\[C@H](CC=CCCC(=O)O)OO,>>,"['YMR009W', 'YJR078W', 'YJR025C', 'YMR009W', 'YJR078W', 'YJR025C', 'YMR009W', 'YJR078W', 'YJR025C']"
Docosahexaenoate,9,CCC=CCC=CCC=CCC=CCC=CCC=CCCC(=O)O.O=O>>CCC=CCC=CC/C=C\C=C\[C@H](CC=CCC=CCCC(=O)O)OO,>>,"['YMR009W', 'YJR078W', 'YJR025C', 'YMR009W', 'YJR078W', 'YJR025C', 'YMR009W', 'YJR078W', 'YJR025C']"
Docosahexaenoate,10,CCC=CCC=CCC=CCC=CCC=CCC=CCCC(=O)O.O=O>>CCC=CCC=CC[C@@H](/C=C/C=C\CC=CCC=CCCC(=O)O)OO,>>,"['YMR009W', 'YJR078W', 'YJR025C', 'YMR009W', 'YJR078W', 'YJR025C', 'YMR009W', 'YJR078W', 'YJR025C']"
Docosahexaenoate,11,CCC=CCC=CCC=CCC=CCC=CCC=CCCC(=O)O.O=O>>CCC=CC[C@@H](/C=C/C=C\CC=CCC=CCC=CCCC(=O)O)OO,>>,"['YMR009W', 'YJR078W', 'YJR025C', 'YMR009W', 'YJR078W', 'YJR025C', 'YMR009W', 'YJR078W', 'YJR025C']"
