Product name,Predicted reaction ID,Predicted reaction,IgnoreMet,Predicted genes of reaction
Eicosapentaenoic acid,1,CCC=CCC=CCC=CCC=CCC=CCCCC(=O)O.O=O>>CC(O)C=CCC=CCC=CCC=CCC=CCCCC(=O)O.O,H(+) + NADPH>>NADP(+),"['YCL001W', 'YHR007C', 'YAL064W', 'YGR175C', 'YJL151C', 'YCL001W', 'YHR007C', 'YAL064W', 'YGR175C', 'YJL151C']"
Eicosapentaenoic acid,2,CCC=CCC=CCC=CCC=CCC=CCCCC(=O)O.O=O>>O.O=C(O)CCCC=CCC=CCC=CCC=CCC=CCCO,H(+) + NADPH>>NADP(+),"['YCL001W', 'YHR007C', 'YAL064W', 'YGR175C', 'YJL151C', 'YCL001W', 'YHR007C', 'YAL064W', 'YGR175C', 'YJL151C']"
Eicosapentaenoic acid,3,CCC=CCC=CCC=CCC=CCC=CCCCC(=O)O.O=O>>CCC=CCC=CCC=CCC=CCC=CCC(O)CC(=O)O.O,H(+) + NADPH>>NADP(+),"['YCL001W', 'YHR007C', 'YAL064W', 'YGR175C', 'YJL151C', 'YCL001W', 'YHR007C', 'YAL064W', 'YGR175C', 'YJL151C']"
Eicosapentaenoic acid,4,CCC=CCC=CCC=CCC=CCC=CCCCC(=O)O>>CCC=CCC=CCC=CCC=CCC=CCCCC=O.O,H(+) + NADPH>>NADP(+),"['YBR006W', 'YPL061W', 'YJR009C', 'YHR037W', 'YER073W', 'YDR158W', 'YMR169C', 'YGR192C', 'YPL098C', 'YMR110C', 'YMR170C', 'YOR374W', 'YOR323C', 'YJL052W', 'YBR006W', 'YPL061W', 'YJR009C', 'YHR037W', 'YER073W', 'YDR158W', 'YMR169C', 'YGR192C', 'YPL098C', 'YMR110C', 'YMR170C', 'YOR374W', 'YOR323C', 'YJL052W']"
Eicosapentaenoic acid,5,CCC=CCC=CCC=CCC=CCC=CCCCC(=O)O.O=O>>CCC=CCC=CCC=CC[C@@H](/C=C/C=C\CCCC(=O)O)OO,>>,"['YMR009W', 'YJR078W', 'YJR025C']"
Eicosapentaenoic acid,6,CCC=CCC=CCC=CCC=CCC=CCCCC(=O)O.O=O>>CCC=CC/C=C\C=C\[C@H](CC=CCC=CCCCC(=O)O)OO,>>,"['YMR009W', 'YJR078W', 'YJR025C']"
Eicosapentaenoic acid,7,CCC=CCC=CCC=CCC=CCC=CCCCC(=O)O.O=O>>CC[C@@H](/C=C/C=C\CC=CCC=CCC=CCCCC(=O)O)OO,>>,"['YMR009W', 'YJR078W', 'YJR025C']"
Eicosapentaenoic acid,8,CCC=CCC=CCC=CCC=CCC=CCCCC(=O)O.O=O>>CCC=CCC=CCC=CC/C=C\C=C\[C@H](CCCC(=O)O)OO,>>,"['YMR009W', 'YJR078W', 'YJR025C']"
Eicosapentaenoic acid,9,CCC=CCC=CCC=CCC=CCC=CCCCC(=O)O.O=O>>CCC=CC[C@@H](/C=C/C=C\CC=CCC=CCCCC(=O)O)OO,>>,"['YMR009W', 'YJR078W', 'YJR025C']"
Eicosapentaenoic acid,10,CCC=CCC=CCC=CCC=CCC=CCCCC(=O)O.O=O>>CCC=CCC=CC[C@@H](/C=C/C=C\CC=CCCCC(=O)O)OO,>>,"['YMR009W', 'YJR078W', 'YJR025C']"
Eicosapentaenoic acid,11,CCC=CCC=CCC=CCC=CCC=CCCCC(=O)O.O=O>>CCC=CCC=CC/C=C\C=C\[C@H](CC=CCCCC(=O)O)OO,>>,"['YMR009W', 'YJR078W', 'YJR025C']"
Eicosapentaenoic acid,12,CCC=CCC=CCC=CCC=CCC=CCCCC(=O)O.O=O>>CC/C=C\C=C\[C@H](CC=CCC=CCC=CCCCC(=O)O)OO,>>,"['YMR009W', 'YJR078W', 'YJR025C']"
Eicosapentaenoic acid,13,CCC=CCC=CCC=CCC=CCC=CCCCC(=O)O>>CCC=CCC=CCC=CCC=CCC=CCCCC(=O)[O-],>>H(+),"['YNL064C', 'YGR159C', 'YDR155C', 'YKL016C', 'YLR449W', 'YLR090W', 'YCR093W', 'YJR017C', 'YAL034W-A', 'YJR032W', 'YDR304C', 'YCR069W', 'YOL114C', 'YLR216C', 'YNL135C', 'YNL204C', 'YDR519W', 'YOR232W', 'YNR028W', 'YOR332W', 'YCR059C', 'YPL217C', 'YOR287C', 'YML074C', 'YHR057C', 'YGR103W', 'YKL195W', 'YGL137W', 'YER093C-A', 'YFL023W', 'YML078W', 'YKR020W', 'YJL080C', 'YNL077W', 'YDR161W']"
