Product name,Predicted reaction ID,Predicted reaction,IgnoreMet,Predicted genes of reaction
Lupeol,1,C=C(C)C1CCC2(C)CCC3(C)C(CCC4C5(C)CCC(O)C(C)(C)C5CCC43C)C12.O=O>>C=C(C)C1C[C@H](O)C2(C)CCC3(C)C(CCC4C5(C)CCC(O)C(C)(C)C5CCC43C)C12.O,H(+) + NADPH>>NADP(+),"['YCL001W', 'YHR007C', 'YAL064W', 'YGR175C', 'YJL151C']"
Lupeol,2,C=C(C)C1CCC2(C)CCC3(C)C(CCC4C5(C)CCC(O)C(C)(C)C5CCC43C)C12.O=O>>C=C(C)C1CCC2(C)CCC3(C)C(CCC4C5(C)CCC(O)C(C)(C)C5[C@@H](O)CC43C)C12.O,H(+) + NADPH>>NADP(+),"['YCL001W', 'YHR007C', 'YAL064W', 'YGR175C', 'YJL151C']"
Lupeol,3,C=C(C)C1CCC2(C)CCC3(C)C(CCC4C5(C)CCC(O)C(C)(C)C5CCC43C)C12.O=O>>C=C(C)C1CCC2(C)CCC3(C)C(CCC4C5(C)C[C@@H](O)C(O)C(C)(C)C5CCC43C)C12.O,H(+) + NADPH>>NADP(+),"['YCL001W', 'YHR007C', 'YAL064W', 'YGR175C', 'YJL151C']"
Lupeol,4,C=C(C)C1CCC2(C)CCC3(C)C(CCC4C5(C)CCC(O)C(C)(C)C5CCC43C)C12.O=O>>C=C(C)C1CCC2(C)CCC3(C)C(CCC4C5(C)CCC(O)C(C)(C)C5C[C@H](O)C43C)C12.O,H(+) + NADPH>>NADP(+),"['YCL001W', 'YHR007C', 'YAL064W', 'YGR175C', 'YJL151C']"
Lupeol,5,C=C(C)C1CCC2(C)CCC3(C)C(CCC4C5(C)CCC(O)C(C)(C)C5CCC43C)C12.O=O>>C=C(C)C1CCC2(C)CCC3(C)C(CCC4C5(C)C(CCC43C)C(C)(C)C(O)C[C@@H]5O)C12.O,H(+) + NADPH>>NADP(+),"['YCL001W', 'YHR007C', 'YAL064W', 'YGR175C', 'YJL151C']"
Lupeol,6,C=C(C)C1CCC2(C)CCC3(C)C(CCC4C5(C)CCC(O)C(C)(C)C5CCC43C)C12.O=O>>C=C(C)C1CCC2(C)C1C1CCC3C4(C)CCC(O)C(C)(C)C4CCC3(C)C1(C)C[C@@H]2O.O,H(+) + NADPH>>NADP(+),"['YCL001W', 'YHR007C', 'YAL064W', 'YGR175C', 'YJL151C']"
Lupeol,7,C=C(C)C1CCC2(C)CCC3(C)C(CCC4C5(C)CCC(O)C(C)(C)C5CCC43C)C12.O=O>>C=C(C)C1CCC2(C)CCC3(C)C(C[C@@H](O)C4C5(C)CCC(O)C(C)(C)C5CCC43C)C12.O,H(+) + NADPH>>NADP(+),"['YCL001W', 'YHR007C', 'YAL064W', 'YGR175C', 'YJL151C']"
Lupeol,8,C=C(C)C1CCC2(C)CCC3(C)C(CCC4C5(C)CCC(O)C(C)(C)C5CCC43C)C12.O=O>>C=C(C)C1C2C3CCC4C5(C)CCC(O)C(C)(C)C5CCC4(C)C3(C)CCC2(C)C[C@H]1O.O,H(+) + NADPH>>NADP(+),"['YCL001W', 'YHR007C', 'YAL064W', 'YGR175C', 'YJL151C']"
Lupeol,9,C=C(C)C1CCC2(C)CCC3(C)C(CCC4C5(C)CCC(O)C(C)(C)C5CCC43C)C12.O=O>>C=C(C)C1CCC2(C)CCC3(C)C(C12)[C@@H](O)CC1C2(C)CCC(O)C(C)(C)C2CCC13C.O,H(+) + NADPH>>NADP(+),"['YCL001W', 'YHR007C', 'YAL064W', 'YGR175C', 'YJL151C']"
Lupeol,10,C=C(C)C1CCC2(C)CCC3(C)C(CCC4C5(C)CCC(O)C(C)(C)C5CCC43C)C12.O=O>>C=C(C)C1CCC2(C)C[C@H](O)C3(C)C(CCC4C5(C)CCC(O)C(C)(C)C5CCC43C)C12.O,H(+) + NADPH>>NADP(+),"['YCL001W', 'YHR007C', 'YAL064W', 'YGR175C', 'YJL151C']"
Lupeol,11,C=C(C)C1CCC2(C)CCC3(C)C(CCC4C5(C)CCC(O)C(C)(C)C5CCC43C)C12.O=O>>C=C(C)C1CCC2(C)CCC3(C)C(CCC4C5(C)CCC(O)[C@](C)(CO)C5CCC43C)C12.O,H(+) + NADPH>>NADP(+),"['YBL098W', 'YNR053C', 'YCL059C', 'YHR176W', 'YOL114C', 'YLL057C', 'YBR298C', 'YDR534C', 'YLR281C', 'YDR402C']"
Lupeol,12,C=C(C)C1CCC2(C)CCC3(C)C(CCC4C5(C)CCC(O)C(C)(C)C5CCC43C)C12.O=O>>C=C(CO)C1CCC2(C)CCC3(C)C(CCC4C5(C)CCC(O)C(C)(C)C5CCC43C)C12.O,NADH + H(+)>>NAD(+),"['YBL098W', 'YNR053C', 'YCL059C', 'YHR176W', 'YOL114C', 'YLL057C', 'YBR298C', 'YDR534C', 'YLR281C', 'YDR402C']"
Lupeol,13,C=C(C)C1CCC2(C)CCC3(C)C(CCC4C5(C)CCC(O)C(C)(C)C5CCC43C)C12>>CC(C)C1CCC2(C)CCC3(C)C(CCC4C5(C)CCC(O)C(C)(C)C5CCC43C)C12,H(+) + NADPH>>NADP(+),"['YGL080W', 'YBR213W', 'YDL015C', 'YJR051W', 'YKR069W', 'YBR166C', 'YIL049W', 'YLR405W', 'YNR015W', 'YGL012W', 'YHR179W', 'YML080W', 'YNL280C', 'YBR026C', 'YLR401C', 'YHR094C', 'YEL047C', 'YNL202W']"
Lupeol,14,C=C(C)C1CCC2(C)CCC3(C)C(CCC4C5(C)CCC(O)C(C)(C)C5CCC43C)C12.O=O>>C=C(C)C1CCC2(C)CCC3(C)C(CCC4C5(CO)CCC(O)C(C)(C)C5CCC43C)C12.O,H(+) + NADPH>>NADP(+),[]
Lupeol,15,C=C(C)C1CCC2(C)CCC3(C)C(CCC4C5(C)CCC(O)C(C)(C)C5CCC43C)C12.O=O>>C=C(C)C1CCC2(C)CCC3(C)C(CCC4C5(C)CCC(O)C(C)(C)C5CCC43CO)C12.O,H(+) + NADPH>>NADP(+),[]
Lupeol,16,C=C(C)C1CCC2(C)CCC3(C)C(CCC4C5(C)CCC(O)C(C)(C)C5CCC43C)C12.O=O>>C=C(C)C1CCC2(CO)CCC3(C)C(CCC4C5(C)CCC(O)C(C)(C)C5CCC43C)C12.O,H(+) + NADPH>>NADP(+),[]
Lupeol,17,C=C(C)C1CCC2(C)CCC3(C)C(CCC4C5(C)CCC(O)C(C)(C)C5CCC43C)C12.O=O>>C=C(C)C1CCC2(C)CCC3(CO)C(CCC4C5(C)CCC(O)C(C)(C)C5CCC43C)C12.O,H(+) + NADPH>>NADP(+),[]
Lupeol,18,C=C(C)C1CCC2(C)CCC3(C)C(CCC4C5(C)CCC(O)C(C)(C)C5CCC43C)C12.O=O>>C=C(C)C1CCC2(C)C(=O)CC3(C)C(CCC4C5(C)CCC(O)C(C)(C)C5CCC43C)C12.O,>>,[]
Lupeol,19,C=C(C)C1CCC2(C)CCC3(C)C(CCC4C5(C)CCC(O)C(C)(C)C5CCC43C)C12.O=O>>C=C(C)C1CCC2(C)CCC3(C)C(CCC4C5(C)CC(=O)C(O)C(C)(C)C5CCC43C)C12.O,>>,[]
Lupeol,20,C=C(C)C1CCC2(C)CCC3(C)C(CCC4C5(C)CCC(O)C(C)(C)C5CCC43C)C12.O=O>>C=C(C)C1CCC2(C)CCC3(C)C(CC(=O)C4C5(C)CCC(O)C(C)(C)C5CCC43C)C12.O,>>,[]
Lupeol,21,C=C(C)C1CCC2(C)CCC3(C)C(CCC4C5(C)CCC(O)C(C)(C)C5CCC43C)C12.O=O>>C=C(C)C1CCC2(C)CCC3(C)C(CCC4C5(C)CCC(O)C(C)(C)C5C(=O)CC43C)C12.O,>>,[]
Lupeol,22,C=C(C)C1CCC2(C)CCC3(C)C(CCC4C5(C)CCC(O)C(C)(C)C5CCC43C)C12.O=O>>C=C(C)C1CCC2(C)CCC3(C)C(CCC4C5(C)CCC(O)C(C)(C)C5CC(=O)C43C)C12.O,>>,[]
Lupeol,23,C=C(C)C1CCC2(C)CCC3(C)C(CCC4C5(C)CCC(O)C(C)(C)C5CCC43C)C12.O=O>>C=C(C)C1C(=O)CC2(C)CCC3(C)C(CCC4C5(C)CCC(O)C(C)(C)C5CCC43C)C12.O,>>,[]
Lupeol,24,C=C(C)C1CCC2(C)CCC3(C)C(CCC4C5(C)CCC(O)C(C)(C)C5CCC43C)C12.O=O>>C=C(C)C1CC(=O)C2(C)CCC3(C)C(CCC4C5(C)CCC(O)C(C)(C)C5CCC43C)C12.O,>>,[]
Lupeol,25,C=C(C)C1CCC2(C)CCC3(C)C(CCC4C5(C)CCC(O)C(C)(C)C5CCC43C)C12.O=O>>C=C(C)C1CCC2(C)CC(=O)C3(C)C(CCC4C5(C)CCC(O)C(C)(C)C5CCC43C)C12.O,>>,[]
