Product name,Predicted reaction ID,Predicted reaction,IgnoreMet,Predicted genes of reaction
Patchoulol,1,CC1CCC2(O)C(C)(C)C3CCC2(C)C1C3.O=O>>CC1CCC2(O)C(C)(C)C3CCC2(C)C1[C@H]3O.O,H(+) + NADPH>>NADP(+),"['YCL001W', 'YHR007C', 'YAL064W', 'YGR175C', 'YJL151C']"
Patchoulol,2,CC1CCC2(O)C(C)(C)C3CCC2(C)C1C3.O=O>>CC1CCC2(O)C(C)(C)C3CC1C2(C)C[C@H]3O.O,H(+) + NADPH>>NADP(+),"['YCL001W', 'YHR007C', 'YAL064W', 'YGR175C', 'YJL151C']"
Patchoulol,3,CC1CCC2(O)C(C)(C)C3CCC2(C)C1C3.O=O>>CC1C[C@H](O)C2(O)C(C)(C)C3CCC2(C)C1C3.O,H(+) + NADPH>>NADP(+),"['YCL001W', 'YHR007C', 'YAL064W', 'YGR175C', 'YJL151C']"
Patchoulol,4,CC1CCC2(O)C(C)(C)C3CCC2(C)C1C3.O=O>>CC1C2CC3CCC2(C)C(O)(C[C@H]1O)C3(C)C.O,H(+) + NADPH>>NADP(+),"['YCL001W', 'YHR007C', 'YAL064W', 'YGR175C', 'YJL151C']"
Patchoulol,5,CC1CCC2(O)C(C)(C)C3CCC2(C)C1C3.O=O>>CC1CCC2(O)C(C)(C)C3CC1C2(C)[C@@H](O)C3.O,H(+) + NADPH>>NADP(+),"['YCL001W', 'YHR007C', 'YAL064W', 'YGR175C', 'YJL151C']"
Patchoulol,6,CC1CCC2(O)C(C)(C)C3CCC2(C)C1C3.O=O>>CC1CCC2(O)C3(C)CCC(CC13)[C@]2(C)CO.O,H(+) + NADPH>>NADP(+),"['YBL098W', 'YNR053C', 'YCL059C', 'YHR176W', 'YOL114C', 'YLL057C', 'YBR298C', 'YDR534C', 'YLR281C', 'YDR402C', 'YBL098W', 'YNR053C', 'YCL059C', 'YHR176W', 'YOL114C', 'YLL057C', 'YBR298C', 'YDR534C', 'YLR281C', 'YDR402C']"
Patchoulol,7,CC1CCC2(O)C(C)(C)C3CCC2(C)C1C3>>CC1C=CC2C(C)(C)C3CCC2(C)C1C3.O,>>,"['YDR087C', 'YDR487C', 'YEL004W', 'YDR403W']"
Patchoulol,8,CC1CCC2(O)C(C)(C)C3CCC2(C)C1C3.O=O>>CC1CCC2(O)C(C)(C)C3CCC2(CO)C1C3.O,H(+) + NADPH>>NADP(+),[]
Patchoulol,9,CC1CCC2(O)C(C)(C)C3CCC2(C)C1C3.O=O>>CC1(C)C2CCC3(C)C(C2)C(CO)CCC13O.O,H(+) + NADPH>>NADP(+),[]
Patchoulol,10,CC1CCC2(O)C(C)(C)C3CCC2(C)C1C3.O=O>>CC1CC(=O)C2(O)C(C)(C)C3CCC2(C)C1C3.O,>>,[]
Patchoulol,11,CC1CCC2(O)C(C)(C)C3CCC2(C)C1C3.O=O>>CC1C(=O)CC2(O)C(C)(C)C3CCC2(C)C1C3.O,>>,[]
Patchoulol,12,CC1CCC2(O)C(C)(C)C3CCC2(C)C1C3.O=O>>CC1CCC2(O)C(C)(C)C3CC(=O)C2(C)C1C3.O,>>,[]
Patchoulol,13,CC1CCC2(O)C(C)(C)C3CCC2(C)C1C3.O=O>>CC1CCC2(O)C(C)(C)C3CCC2(C)C1C3=O.O,>>,[]
Patchoulol,14,CC1CCC2(O)C(C)(C)C3CCC2(C)C1C3.O=O>>CC1CCC2(O)C(C)(C)C3CC1C2(C)CC3=O.O,>>,[]
Patchoulol,15,CC1CCC2(O)C(C)(C)C3CCC2(C)C1C3.[H]O[H]>>CC1C2CC3CCC2(C)C(O)(C[C@H]1O)C3(C)C,FAD + H(+)>>FADH2,['YER141W']
Patchoulol,16,CC1CCC2(O)C(C)(C)C3CCC2(C)C1C3.[H]O[H]>>CC1C[C@H](O)C2(O)C(C)(C)C3CCC2(C)C1C3,FAD + H(+)>>FADH2,['YER141W']
Patchoulol,17,CC1CCC2(O)C(C)(C)C3CCC2(C)C1C3.[H]O[H]>>CC1CCC2(O)C(C)(C)C3CC1C2(C)[C@@H](O)C3,FAD + H(+)>>FADH2,['YER141W']
Patchoulol,18,CC1CCC2(O)C(C)(C)C3CCC2(C)C1C3.[H]O[H]>>CC1CCC2(O)C(C)(C)C3CC1C2(C)C[C@@H]3O,FAD + H(+)>>FADH2,['YER141W']
Patchoulol,19,CC1CCC2(O)C(C)(C)C3CCC2(C)C1C3.[H]O[H]>>CC1CCC2(O)C(C)(C)C3CCC2(C)C1[C@H]3O,FAD + H(+)>>FADH2,['YER141W']
