Product name,Predicted reaction ID,Predicted reaction,IgnoreMet,Predicted genes of reaction
Rosmarinate,1,O=C(C=Cc1ccc(O)c(O)c1)OC(Cc1ccc(O)c(O)c1)C(=O)O.O=O>>O.O=C(O)C(Cc1ccc(O)c(O)c1)OC(=O)[C@H]1O[C@H]1c1ccc(O)c(O)c1,H(+) + NADPH>>NADP(+),"['YCL001W', 'YHR007C', 'YAL064W', 'YGR175C', 'YJL151C']"
Rosmarinate,2,O=C(C=Cc1ccc(O)c(O)c1)OC(Cc1ccc(O)c(O)c1)C(=O)O.[H]O[H]>>O=C(O)C(O)Cc1ccc(O)c(O)c1.O=C([O-])C=Cc1ccc(O)c(O)c1,>>H(+),"['YBR180W', 'YPR157W', 'YBR068C', 'YNL270C', 'YKR089C', 'YBR069C', 'YJR107W', 'YML059C', 'YDL210W', 'YMR298W', 'YGR263C', 'YAL049C', 'YHR189W', 'YHR163W', 'YLR020C', 'YOR348C', 'YBR219C', 'YCR073W-A', 'YNL268W', 'YEL063C', 'YJL145W', 'YBL042C', 'YOR081C', 'YCR068W', 'YGL144C', 'YMR008C', 'YPL274W', 'YMR210W', 'YBL057C', 'YOR126C', 'YMR006C', 'YFL055W', 'YHR213W', 'YCL005W-A', 'YDR058C', 'YDR508C', 'YNR034W', 'YDL109C', 'YOR097C', 'YNL323W', 'YLR208W', 'YNL242W', 'YBR132C', 'YBR294W', 'YBR204C', 'YBR164C', 'YLL052C', 'YBR296C', 'YKL094W', 'YLL061W', 'YGR248W', 'YNL012W', 'YDR367W', 'YNL142W', 'YLR092W', 'YDL219W', 'YLR380W', 'YOL020W', 'YPR027C', 'YGL258W', 'YBR058C-A', 'YOL011W', 'YCL025C', 'YEL057C', 'YHR075C', 'YPL265W', 'YLL012W', 'YMR313C', 'YJL212C', 'YBR021W', 'YDR046C', 'YGR191W', 'YLR118C', 'YKL140W', 'YIL029C', 'YFR020W']"
Rosmarinate,3,O=C(C=Cc1ccc(O)c(O)c1)OC(Cc1ccc(O)c(O)c1)C(=O)O.O=O>>O.O=C(C=Cc1ccc(O)c(O)c1)OC(Cc1ccc(O)c(O)c1O)C(=O)O,NADH + H(+)>>NAD(+),"['YBL098W', 'YNR053C', 'YCL059C', 'YHR176W', 'YOL114C', 'YLL057C', 'YBR298C', 'YDR534C', 'YLR281C', 'YDR402C']"
Rosmarinate,4,O=C(C=Cc1ccc(O)c(O)c1)OC(Cc1ccc(O)c(O)c1)C(=O)O.O=O>>O.O=C(C=Cc1ccc(O)c(O)c1)OC(Cc1cc(O)c(O)c(O)c1)C(=O)O,NADH + H(+)>>NAD(+),"['YBL098W', 'YNR053C', 'YCL059C', 'YHR176W', 'YOL114C', 'YLL057C', 'YBR298C', 'YDR534C', 'YLR281C', 'YDR402C']"
Rosmarinate,5,O=C(C=Cc1ccc(O)c(O)c1)OC(Cc1ccc(O)c(O)c1)C(=O)O.O=O>>O.O=C(C=Cc1cc(O)c(O)c(O)c1)OC(Cc1ccc(O)c(O)c1)C(=O)O,NADH + H(+)>>NAD(+),"['YBL098W', 'YNR053C', 'YCL059C', 'YHR176W', 'YOL114C', 'YLL057C', 'YBR298C', 'YDR534C', 'YLR281C', 'YDR402C']"
Rosmarinate,6,O=C(C=Cc1ccc(O)c(O)c1)OC(Cc1ccc(O)c(O)c1)C(=O)O.O=O>>O.O=C(C=Cc1ccc(O)c(O)c1O)OC(Cc1ccc(O)c(O)c1)C(=O)O,NADH + H(+)>>NAD(+),"['YBL098W', 'YNR053C', 'YCL059C', 'YHR176W', 'YOL114C', 'YLL057C', 'YBR298C', 'YDR534C', 'YLR281C', 'YDR402C']"
Rosmarinate,7,O=C(C=Cc1ccc(O)c(O)c1)OC(Cc1ccc(O)c(O)c1)C(=O)O>>O=C(C=Cc1ccc(O)c(O)c1)OC(Cc1c[C@@H](O)[C@@H](O)C=C1)C(=O)O,NADH + H(+)>>NAD(+),"['YGL080W', 'YBR213W', 'YDL015C', 'YJR051W', 'YKR069W', 'YBR166C', 'YIL049W', 'YLR405W', 'YNR015W', 'YGL012W', 'YHR179W', 'YML080W', 'YNL280C', 'YBR026C', 'YLR401C', 'YHR094C', 'YEL047C', 'YNL202W']"
Rosmarinate,8,O=C(C=Cc1ccc(O)c(O)c1)OC(Cc1ccc(O)c(O)c1)C(=O)O>>O=C(C=Cc1c[C@@H](O)[C@@H](O)C=C1)OC(Cc1ccc(O)c(O)c1)C(=O)O,NADH + H(+)>>NAD(+),"['YGL080W', 'YBR213W', 'YDL015C', 'YJR051W', 'YKR069W', 'YBR166C', 'YIL049W', 'YLR405W', 'YNR015W', 'YGL012W', 'YHR179W', 'YML080W', 'YNL280C', 'YBR026C', 'YLR401C', 'YHR094C', 'YEL047C', 'YNL202W']"
Rosmarinate,9,O=C(C=Cc1ccc(O)c(O)c1)OC(Cc1ccc(O)c(O)c1)C(=O)O.O=O>>O=C(O)/C=C/c(C=CC(=O)OC(Cc1ccc(O)c(O)c1)C(=O)O)cC(=O)O,>>,"['YMR009W', 'YJR078W', 'YJR025C']"
Rosmarinate,10,O=C(C=Cc1ccc(O)c(O)c1)OC(Cc1ccc(O)c(O)c1)C(=O)O.O=O>>O=C(O)/C=C/c(cC(=O)O)CC(OC(=O)C=Cc1ccc(O)c(O)c1)C(=O)O,>>,"['YMR009W', 'YJR078W', 'YJR025C']"
Rosmarinate,11,O=C(C=Cc1ccc(O)c(O)c1)OC(Cc1ccc(O)c(O)c1)C(=O)O.O=O>>O.O=C(C=Cc1ccc(O)c(O)c1)OC(C(=O)O)[C@H](O)c1ccc(O)c(O)c1,H(+) + NADPH>>NADP(+),"['YCL001W', 'YHR007C', 'YAL064W', 'YGR175C', 'YJL151C', 'YCL001W', 'YHR007C', 'YAL064W', 'YGR175C', 'YJL151C']"
