Product name,Predicted reaction ID,Predicted reaction,IgnoreMet,Predicted genes of reaction
α-Farnesene,1,C=CC(C)=CCC=C(C)CCC=C(C)C.O=O>>C=CC(C)=CCC1OC1(C)CCC=C(C)C.O,NADH + H(+)>>NAD(+),"['YBL098W', 'YNR053C', 'YCL059C', 'YHR176W', 'YOL114C', 'YLL057C', 'YBR298C', 'YDR534C', 'YLR281C', 'YDR402C']"
α-Farnesene,2,C=CC(C)=CCC=C(C)CCC=C(C)C.O=O>>C=CC1(C)OC1CC=C(C)CCC=C(C)C.O,NADH + H(+)>>NAD(+),"['YBL098W', 'YNR053C', 'YCL059C', 'YHR176W', 'YOL114C', 'YLL057C', 'YBR298C', 'YDR534C', 'YLR281C', 'YDR402C']"
α-Farnesene,3,C=CC(C)=CCC=C(C)CCC=C(C)C.O=O>>C=CC(C)=CCC=C(C)CCC1OC1(C)C.O,NADH + H(+)>>NAD(+),"['YBL098W', 'YNR053C', 'YCL059C', 'YHR176W', 'YOL114C', 'YLL057C', 'YBR298C', 'YDR534C', 'YLR281C', 'YDR402C']"
α-Farnesene,4,C=CC(C)=CCC=C(C)CCC=C(C)C.O=O>>C=CC(C)=CCC=C(C)CCC=C(C)CO.O,NADH + H(+)>>NAD(+),"['YBL098W', 'YNR053C', 'YCL059C', 'YHR176W', 'YOL114C', 'YLL057C', 'YBR298C', 'YDR534C', 'YLR281C', 'YDR402C']"
α-Farnesene,5,C=CC(C)=CCC=C(C)CCC=C(C)C.O=O>>C=CC(=CCC=C(C)CCC=C(C)C)CO.O,NADH + H(+)>>NAD(+),"['YBL098W', 'YNR053C', 'YCL059C', 'YHR176W', 'YOL114C', 'YLL057C', 'YBR298C', 'YDR534C', 'YLR281C', 'YDR402C']"
α-Farnesene,6,C=CC(C)=CCC=C(C)CCC=C(C)C.O=O>>C=CC(C)=CCC=C(CO)CCC=C(C)C.O,NADH + H(+)>>NAD(+),"['YBL098W', 'YNR053C', 'YCL059C', 'YHR176W', 'YOL114C', 'YLL057C', 'YBR298C', 'YDR534C', 'YLR281C', 'YDR402C']"
α-Farnesene,7,C=CC(C)=CCC=C(C)CCC=C(C)C.[H]O[H]>>C=CC(C)=CC[C@H]1C(C)(C)CCC[C@]1(C)O,>>,"['YGL009C', 'YMR323W', 'YGR254W', 'YGL040C', 'YOR391C', 'YDR234W', 'YNL335W', 'YJR024C', 'YPL262W', 'YKR009C', 'YHL018W', 'YDR533C', 'YGR155W', 'YJR016C', 'YHR140W', 'YPL280W', 'YJL097W', 'YJL200C', 'YOR202W', 'YNL036W', 'YPR002W', 'YDR222W', 'YPR170W-B', 'YGL026C', 'YKL058W', 'YPL281C', 'YOR145C', 'YPL078C', 'YJR044C', 'YLR304C', 'YHR067W', 'YHR174W', 'YNL316C', 'YCR061W', 'YOR278W', 'YFL061W', 'YMR322C', 'YKL151C', 'YOR393W']"
α-Farnesene,8,C=CC(C)=CCC=C(C)CCC=C(C)C.O=O>>C=CC(C)=CCC=C(C)C[C@@H](O)C=C(C)C.O,H(+) + NADPH>>NADP(+),"['YBL098W', 'YNR053C', 'YCL059C', 'YHR176W', 'YOL114C', 'YLL057C', 'YBR298C', 'YDR534C', 'YLR281C', 'YDR402C', 'YBL098W', 'YNR053C', 'YCL059C', 'YHR176W', 'YOL114C', 'YLL057C', 'YBR298C', 'YDR534C', 'YLR281C', 'YDR402C']"
α-Farnesene,9,C=CC(C)=CCC=C(C)CCC=C(C)C.O=O>>C=CC(C)=C[C@@H](O)C=C(C)CCC=C(C)C.O,H(+) + NADPH>>NADP(+),"['YBL098W', 'YNR053C', 'YCL059C', 'YHR176W', 'YOL114C', 'YLL057C', 'YBR298C', 'YDR534C', 'YLR281C', 'YDR402C', 'YBL098W', 'YNR053C', 'YCL059C', 'YHR176W', 'YOL114C', 'YLL057C', 'YBR298C', 'YDR534C', 'YLR281C', 'YDR402C']"
α-Farnesene,10,C=CC(C)=CCC=C(C)CCC=C(C)C.O=O>>C=CC(C)=CCC=C(C)[C@H](O)CC=C(C)C.O,H(+) + NADPH>>NADP(+),"['YBL098W', 'YNR053C', 'YCL059C', 'YHR176W', 'YOL114C', 'YLL057C', 'YBR298C', 'YDR534C', 'YLR281C', 'YDR402C', 'YBL098W', 'YNR053C', 'YCL059C', 'YHR176W', 'YOL114C', 'YLL057C', 'YBR298C', 'YDR534C', 'YLR281C', 'YDR402C']"
