Product name,Predicted reaction number,Predicted reaction Yeast-MetaTwin ID,Predicted reaction,Predicted genes of reaction
2-Oxoglutarate,1,rxn60,2-oxoglutarate + 4-(phosphonooxy)-L-threonine => L-glutamate + 2-oxo-3-hydroxy-4-phosphobutanoic acid,YHR208W or YLR438W or YIL087C or YER152C or YDR111C or YJR148W or YNR033W or YIL116W or YGR243W or YHR137W or YMR084W or YNR058W or YMR085W or YKL104C or YER137C or YHR162W or YOL140W or YGL202W or YKL106W or YFL030W or YLR089C or YLR201C or YLR027C or YJL060W or YOR184W or YGR019W or YLR333C or YDR204W
2-Oxoglutarate,2,rxn76,(S)-malate + 2-oxoglutarate => oxaloacetate + 2-hydroxyglutarate,YGR255C or YDL178W or YCL005W-A or YIR028W or YEL071W
2-Oxoglutarate,3,rxn77,2-oxoglutarate + isocitrate => homoisocitrate + oxaloacetate,YGR255C or YDL178W or YCL005W-A or YIR028W or YEL071W
2-Oxoglutarate,4,rxn78,2-oxoglutarate + citrate => homocitrate + oxaloacetate,YGR255C or YDL178W or YCL005W-A or YIR028W or YEL071W
2-Oxoglutarate,5,rxn79,"2-oxoglutarate + cis-aconitate => but-1-ene-1,2,4-tricarboxylic acid + oxaloacetate",YGR255C or YDL178W or YCL005W-A or YIR028W or YEL071W
2-Oxoglutarate,6,rxn332,2-oxoglutarate + L-aspartate + oxygen => carbon dioxide + succinate + Threo-3-hydroxy-L-aspartate,YLL057C or YER051W or YKL195W
2-Oxoglutarate,7,rxn418,2-oxoglutarate + glycolate => glyoxylate + 2-hydroxyglutarate,YGR255C or YDL178W or YCL005W-A or YIR028W or YEL071W
2-Oxoglutarate,8,rxn423,2-oxoglutarate + 3-hydroxy-2-methylpropanoate => (S)-Methylmalonate semialdehyde + 2-hydroxyglutarate,YGR255C or YDL178W or YCL005W-A or YIR028W or YEL071W
2-Oxoglutarate,9,rxn547,2'-deoxyuridine + 2-oxoglutarate + oxygen => carbon dioxide + succinate + uridine,YLL057C or YER051W or YKL195W
2-Oxoglutarate,10,rxn551,2-oxoglutarate + deoxycytidine + oxygen => carbon dioxide + cytidine + succinate,YLL057C or YER051W or YKL195W
2-Oxoglutarate,11,rxn556,2'-deoxyguanosine + 2-oxoglutarate + oxygen => carbon dioxide + guanosine + succinate,YLL057C or YER051W or YKL195W
2-Oxoglutarate,12,rxn698,2-oxoglutarate + ornithine => 1-pyrroline-5-carboxylate + H+ + H2O + L-glutamate,YHR208W or YLR438W or YIL087C or YER152C or YDR111C or YJR148W or YNR033W or YIL116W or YGR243W or YHR137W or YMR084W or YNR058W or YMR085W or YKL104C or YER137C or YHR162W or YOL140W or YGL202W or YKL106W or YFL030W or YLR089C or YLR201C or YLR027C or YJL060W or YOR184W or YGR019W or YLR333C or YDR204W
