Product name,Predicted reaction number,Predicted reaction Yeast-MetaTwin ID,Predicted reaction,Predicted genes of reaction
Choline,1,rxn836,choline + 2 H+ + 1-acyl-sn-glycerol 3-phosphate (18:1) => H2O + 1-acylglycerophosphocholine (18:1),YLR097C or YJL198W or YHR058C or YER119C or YBR119W or YGR247W or YPR083W or YNR013C or YLR310C or YFL054C or YBR039W or YAL017W or YEL013W or YOR360C or YER019W or YHR151C or YEL016C or YKR031C or YJR001W or YOR336W or YPL206C or YOL041C or YHR026W or YKR019C or YCR037C or YMR319C or YAL024C or YGL248W or YDR006C or YOR270C or YNL101W or YPL268W or YNL321W or YOR227W or YMR218C or YBL089W or YML037C or YMR054W or YKL146W or YDL110C or YPL152W or YJL129C or YBR207W or YGR197C
Choline,2,rxn839,choline + 2 H+ + 1-acyl-sn-glycerol 3-phosphate (16:0) => H2O + 1-acylglycerophosphocholine (16:0),YLR097C or YJL198W or YHR058C or YER119C or YBR119W or YGR247W or YPR083W or YNR013C or YLR310C or YFL054C or YBR039W or YAL017W or YEL013W or YOR360C or YER019W or YHR151C or YEL016C or YKR031C or YJR001W or YOR336W or YPL206C or YOL041C or YHR026W or YKR019C or YCR037C or YMR319C or YAL024C or YGL248W or YDR006C or YOR270C or YNL101W or YPL268W or YNL321W or YOR227W or YMR218C or YBL089W or YML037C or YMR054W or YKL146W or YDL110C or YPL152W or YJL129C or YBR207W or YGR197C
Choline,3,rxn1810,choline + 1-acylglycerophosphoserine (16:0) => H+ + L-serine + 1-acylglycerophosphocholine (16:0),YNL130C or YBR243C or YHR123W or YDR414C or YKR051W or YBR147W or YCL004W or YER026C or YDL142C or YGR170W or YPL148C or YPR113W or YGL154C or YOL092W
Choline,4,rxn2510,choline + 1-acylglycerophosphoserine (18:1) => H+ + L-serine + 1-acylglycerophosphocholine (18:1),YNL130C or YBR243C or YHR123W or YDR414C or YKR051W or YBR147W or YCL004W or YER026C or YDL142C or YGR170W or YPL148C or YPR113W or YGL154C or YOL092W
Choline,5,rxn2511,choline + 1-acylglycerophosphoserine (16:1) => H+ + L-serine + 1-acylglycerophosphocholine (16:1),YNL130C or YBR243C or YHR123W or YDR414C or YKR051W or YBR147W or YCL004W or YER026C or YDL142C or YGR170W or YPL148C or YPR113W or YGL154C or YOL092W
Choline,6,rxn2516,"choline + phosphatidyl-L-serine (1-18:0, 2-18:1) => H+ + L-serine + phosphatidylcholine (1-18:1, 2-18:1)",YNL130C or YBR243C or YHR123W or YDR414C or YKR051W or YBR147W or YCL004W or YER026C or YDL142C or YGR170W or YPL148C or YPR113W or YGL154C or YOL092W
Choline,7,rxn2517,"choline + phosphatidyl-L-serine (1-16:1, 2-18:1) => H+ + L-serine + phosphatidylcholine (1-18:1, 2-16:1)",YNL130C or YBR243C or YHR123W or YDR414C or YKR051W or YBR147W or YCL004W or YER026C or YDL142C or YGR170W or YPL148C or YPR113W or YGL154C or YOL092W
Choline,8,rxn2652,choline + 1-acylglycerophosphoserine (18:1) => L-serine + 1-acylglycerophosphocholine (18:1),YNL130C or YBR243C or YHR123W or YDR414C or YKR051W or YBR147W or YCL004W or YER026C or YDL142C or YGR170W or YPL148C or YPR113W or YGL154C or YOL092W
Choline,9,rxn2653,choline + pe(18:1/0:0) => ethanolamine + 1-acylglycerophosphocholine (18:1),YNL130C or YBR243C or YHR123W or YDR414C or YKR051W or YBR147W or YCL004W or YER026C or YDL142C or YGR170W or YPL148C or YPR113W or YGL154C or YOL092W
Choline,10,rxn2654,choline + 1-acylglycerophosphoserine (16:1) => L-serine + 1-acylglycerophosphocholine (16:1),YNL130C or YBR243C or YHR123W or YDR414C or YKR051W or YBR147W or YCL004W or YER026C or YDL142C or YGR170W or YPL148C or YPR113W or YGL154C or YOL092W
Choline,11,rxn2655,choline + pe(16:1/0:0) => ethanolamine + 1-acylglycerophosphocholine (16:1),YNL130C or YBR243C or YHR123W or YDR414C or YKR051W or YBR147W or YCL004W or YER026C or YDL142C or YGR170W or YPL148C or YPR113W or YGL154C or YOL092W
Choline,12,rxn2656,"choline + phosphatidyl-L-serine (1-18:0, 2-18:1) => L-serine + phosphatidylcholine (1-18:1, 2-18:1)",YNL130C or YBR243C or YHR123W or YDR414C or YKR051W or YBR147W or YCL004W or YER026C or YDL142C or YGR170W or YPL148C or YPR113W or YGL154C or YOL092W
Choline,13,rxn2657,"choline + pe(18:1/18:1) => ethanolamine + phosphatidylcholine (1-18:1, 2-18:1)",YNL130C or YBR243C or YHR123W or YDR414C or YKR051W or YBR147W or YCL004W or YER026C or YDL142C or YGR170W or YPL148C or YPR113W or YGL154C or YOL092W
Choline,14,rxn2658,"choline + pe(18:0/18:1) => ethanolamine + phosphatidylcholine (1-18:1, 2-18:1)",YNL130C or YBR243C or YHR123W or YDR414C or YKR051W or YBR147W or YCL004W or YER026C or YDL142C or YGR170W or YPL148C or YPR113W or YGL154C or YOL092W
Choline,15,rxn2659,"choline + phosphatidyl-L-serine (1-16:1, 2-18:1) => L-serine + phosphatidylcholine (1-18:1, 2-16:1)",YNL130C or YBR243C or YHR123W or YDR414C or YKR051W or YBR147W or YCL004W or YER026C or YDL142C or YGR170W or YPL148C or YPR113W or YGL154C or YOL092W
Choline,16,rxn2660,"choline + phosphatidylethanolamine (1-18:1, 2-16:1) => ethanolamine + phosphatidylcholine (1-18:1, 2-16:1)",YNL130C or YBR243C or YHR123W or YDR414C or YKR051W or YBR147W or YCL004W or YER026C or YDL142C or YGR170W or YPL148C or YPR113W or YGL154C or YOL092W
