Product name,Predicted reaction number,Predicted reaction Yeast-MetaTwin ID,Predicted reaction,Predicted genes of reaction
Guanine,1,rxn313,guanine + S-adenosyl-L-methionine => H+ + S-adenosyl-L-homocysteine + 7-methylguanine,YDR497C or YBR236C or YCR024C-A or YKL162C or YBR034C or YDL212W or YBR213W or YBR119W or YPL216W or YEL017C-A or YHL036W or YGR002C or YLR285W or YLR172C or YDR435C or YLL062C or YGR027C or YKR069W or YMR160W or YJL125C or YOL103W or YNL092W or YER060W-A or YJL168C or YML110C or YHR034C or YDL201W or YHR209W or YNL063W or YPL092W or YIL064W or YPR186C or YDR105C or YKL088W or YJR073C or YHR109W or YOL141W or YDR410C or YGL050W or YGR006W or YER091C or YKR029C or YPL030W or YER175C or YPR187W or YOL093W or YBR061C or YDR140W or YJR044C or YGR157W or YMR257C or YJR137C or YDR120C or YBL024W or YOL020W or YDR198C or YBR115C or YPL273W or YHR119W or YOR074C or YLR137W or YOL096C or YER056C or YLR333C or YER060W or YDR440W or YGL136C or YOL124C or YBR241C or YPL266W or YOL125W or YGL186C or YHR070W or YDL200C or YJL056C or YML008C
Guanine,2,rxn2014,2-deoxy-D-ribose + guanine => 2'-deoxyguanosine + H2O,YKR044W or YKL219W or YHL017W or YJL039C or YMR065W or YPR071W or YHL030W or YBR302C or YPL271W or YLR305C or YPR079W or YJL159W or YJR118C or YML060W or YMR247C or YIL017C or YOL043C or YMR029C or YKL058W or YPR036W or YJL207C or YBL004W or YDR400W or YBR140C or YML132W or YKL142W or YJL055W or YGL002W or YOR249C or YNL212W or YDL215C or YOL081W or YML103C or YKL014C or YER187W or YML021C or YER142C
Guanine,3,rxn2288,deoxycytidine + guanine => 2'-deoxyguanosine + cytosine,YBL037W or YML022W or YPR144C or YJL039C or YDL171C or YMR271C or YGR144W or YGL195W or YFR047C or YNL191W or YLR209C or YDR441C or YMR247C or YML106W or YDR399W or YLR017W or YJR133W or YDR354W or YBL004W or YMR300C or YHR128W or YER055C or YKL014C
Guanine,4,rxn2289,2'-deoxyuridine + guanine => 2'-deoxyguanosine + uracil,YBL037W or YML022W or YPR144C or YJL039C or YDL171C or YMR271C or YGR144W or YGL195W or YFR047C or YNL191W or YLR209C or YDR441C or YMR247C or YML106W or YDR399W or YLR017W or YJR133W or YDR354W or YBL004W or YMR300C or YHR128W or YER055C or YKL014C
Guanine,5,rxn2290,cytidine + guanine => cytosine + guanosine,YBL037W or YML022W or YPR144C or YJL039C or YDL171C or YMR271C or YGR144W or YGL195W or YFR047C or YNL191W or YLR209C or YDR441C or YMR247C or YML106W or YDR399W or YLR017W or YJR133W or YDR354W or YBL004W or YMR300C or YHR128W or YER055C or YKL014C
Guanine,6,rxn2291,guanine + uridine => guanosine + uracil,YBL037W or YML022W or YPR144C or YJL039C or YDL171C or YMR271C or YGR144W or YGL195W or YFR047C or YNL191W or YLR209C or YDR441C or YMR247C or YML106W or YDR399W or YLR017W or YJR133W or YDR354W or YBL004W or YMR300C or YHR128W or YER055C or YKL014C
Guanine,7,rxn2292,adenosine + guanine => adenine + guanosine,YBL037W or YML022W or YPR144C or YJL039C or YDL171C or YMR271C or YGR144W or YGL195W or YFR047C or YNL191W or YLR209C or YDR441C or YMR247C or YML106W or YDR399W or YLR017W or YJR133W or YDR354W or YBL004W or YMR300C or YHR128W or YER055C or YKL014C
Guanine,8,rxn2307,guanine + cytidine 2'-phosphate => cytosine + guanosine 2'-monophosphate,YBL037W or YML022W or YPR144C or YJL039C or YDL171C or YMR271C or YGR144W or YGL195W or YFR047C or YNL191W or YLR209C or YDR441C or YMR247C or YML106W or YDR399W or YLR017W or YJR133W or YDR354W or YBL004W or YMR300C or YHR128W or YER055C or YKL014C
Guanine,9,rxn2308,guanine + uridine 2'-phosphate => uracil + guanosine 2'-monophosphate,YBL037W or YML022W or YPR144C or YJL039C or YDL171C or YMR271C or YGR144W or YGL195W or YFR047C or YNL191W or YLR209C or YDR441C or YMR247C or YML106W or YDR399W or YLR017W or YJR133W or YDR354W or YBL004W or YMR300C or YHR128W or YER055C or YKL014C
Guanine,10,rxn2309,adenosine 2'-phosphate + guanine => adenine + guanosine 2'-monophosphate,YBL037W or YML022W or YPR144C or YJL039C or YDL171C or YMR271C or YGR144W or YGL195W or YFR047C or YNL191W or YLR209C or YDR441C or YMR247C or YML106W or YDR399W or YLR017W or YJR133W or YDR354W or YBL004W or YMR300C or YHR128W or YER055C or YKL014C
Guanine,11,rxn2310,guanine + 3'-UMP => uracil + 3'-GMP,YBL037W or YML022W or YPR144C or YJL039C or YDL171C or YMR271C or YGR144W or YGL195W or YFR047C or YNL191W or YLR209C or YDR441C or YMR247C or YML106W or YDR399W or YLR017W or YJR133W or YDR354W or YBL004W or YMR300C or YHR128W or YER055C or YKL014C
Guanine,12,rxn2311,guanine + 3'-AMP => adenine + 3'-GMP,YBL037W or YML022W or YPR144C or YJL039C or YDL171C or YMR271C or YGR144W or YGL195W or YFR047C or YNL191W or YLR209C or YDR441C or YMR247C or YML106W or YDR399W or YLR017W or YJR133W or YDR354W or YBL004W or YMR300C or YHR128W or YER055C or YKL014C
Guanine,13,rxn2312,"3',5'-cyclic CMP + guanine => 3',5'-cyclic GMP + cytosine",YBL037W or YML022W or YPR144C or YJL039C or YDL171C or YMR271C or YGR144W or YGL195W or YFR047C or YNL191W or YLR209C or YDR441C or YMR247C or YML106W or YDR399W or YLR017W or YJR133W or YDR354W or YBL004W or YMR300C or YHR128W or YER055C or YKL014C
Guanine,14,rxn2313,"3',5'-cyclic AMP + guanine => 3',5'-cyclic GMP + adenine",YBL037W or YML022W or YPR144C or YJL039C or YDL171C or YMR271C or YGR144W or YGL195W or YFR047C or YNL191W or YLR209C or YDR441C or YMR247C or YML106W or YDR399W or YLR017W or YJR133W or YDR354W or YBL004W or YMR300C or YHR128W or YER055C or YKL014C
Guanine,15,rxn2316,"guanine + 2',3'-cyclic CMP => cytosine + 2',3'-cyclic GMP",YBL037W or YML022W or YPR144C or YJL039C or YDL171C or YMR271C or YGR144W or YGL195W or YFR047C or YNL191W or YLR209C or YDR441C or YMR247C or YML106W or YDR399W or YLR017W or YJR133W or YDR354W or YBL004W or YMR300C or YHR128W or YER055C or YKL014C
Guanine,16,rxn2317,"guanine + 2',3'-cyclic UMP => uracil + 2',3'-cyclic GMP",YBL037W or YML022W or YPR144C or YJL039C or YDL171C or YMR271C or YGR144W or YGL195W or YFR047C or YNL191W or YLR209C or YDR441C or YMR247C or YML106W or YDR399W or YLR017W or YJR133W or YDR354W or YBL004W or YMR300C or YHR128W or YER055C or YKL014C
Guanine,17,rxn2318,"2',3'-cyclic AMP + guanine => adenine + 2',3'-cyclic GMP",YBL037W or YML022W or YPR144C or YJL039C or YDL171C or YMR271C or YGR144W or YGL195W or YFR047C or YNL191W or YLR209C or YDR441C or YMR247C or YML106W or YDR399W or YLR017W or YJR133W or YDR354W or YBL004W or YMR300C or YHR128W or YER055C or YKL014C
Guanine,18,rxn2565,guanine + d-ribose => guanosine + H2O,YKR044W or YKL219W or YHL017W or YJL039C or YMR065W or YPR071W or YHL030W or YBR302C or YPL271W or YLR305C or YPR079W or YJL159W or YJR118C or YML060W or YMR247C or YIL017C or YOL043C or YMR029C or YKL058W or YPR036W or YJL207C or YBL004W or YDR400W or YBR140C or YML132W or YKL142W or YJL055W or YGL002W or YOR249C or YNL212W or YDL215C or YOL081W or YML103C or YKL014C or YER187W or YML021C or YER142C or YFL060C or YNL334C or YMR096W or YFL059W or YNL333W or YMR095C
