Product name,Predicted reaction number,Predicted reaction Yeast-MetaTwin ID,Predicted reaction,Predicted genes of reaction
Hypoxanthine,1,rxn735,"3',5'-cyclic CMP + hypoxanthine => 3',5'-cyclic IMP + cytosine",YBL037W or YML022W or YPR144C or YJL039C or YDL171C or YMR271C or YGR144W or YGL195W or YFR047C or YNL191W or YLR209C or YDR441C or YMR247C or YML106W or YDR399W or YLR017W or YJR133W or YDR354W or YBL004W or YMR300C or YHR128W or YER055C or YKL014C
Hypoxanthine,2,rxn736,"3',5'-cyclic GMP + hypoxanthine => 3',5'-cyclic IMP + guanine",YBL037W or YML022W or YPR144C or YJL039C or YDL171C or YMR271C or YGR144W or YGL195W or YFR047C or YNL191W or YLR209C or YDR441C or YMR247C or YML106W or YDR399W or YLR017W or YJR133W or YDR354W or YBL004W or YMR300C or YHR128W or YER055C or YKL014C
Hypoxanthine,3,rxn738,"3',5'-cyclic AMP + hypoxanthine => 3',5'-cyclic IMP + adenine",YBL037W or YML022W or YPR144C or YJL039C or YDL171C or YMR271C or YGR144W or YGL195W or YFR047C or YNL191W or YLR209C or YDR441C or YMR247C or YML106W or YDR399W or YLR017W or YJR133W or YDR354W or YBL004W or YMR300C or YHR128W or YER055C or YKL014C
Hypoxanthine,4,rxn2015,2-deoxy-D-ribose + hypoxanthine => 2'-deoxyinosine + H2O,YKR044W or YKL219W or YHL017W or YJL039C or YMR065W or YPR071W or YHL030W or YBR302C or YPL271W or YLR305C or YPR079W or YJL159W or YJR118C or YML060W or YMR247C or YIL017C or YOL043C or YMR029C or YKL058W or YPR036W or YJL207C or YBL004W or YDR400W or YBR140C or YML132W or YKL142W or YJL055W or YGL002W or YOR249C or YNL212W or YDL215C or YOL081W or YML103C or YKL014C or YER187W or YML021C or YER142C
Hypoxanthine,5,rxn2293,deoxycytidine + hypoxanthine => 2'-deoxyinosine + cytosine,YBL037W or YML022W or YPR144C or YJL039C or YDL171C or YMR271C or YGR144W or YGL195W or YFR047C or YNL191W or YLR209C or YDR441C or YMR247C or YML106W or YDR399W or YLR017W or YJR133W or YDR354W or YBL004W or YMR300C or YHR128W or YER055C or YKL014C
Hypoxanthine,6,rxn2294,2'-deoxyuridine + hypoxanthine => 2'-deoxyinosine + uracil,YBL037W or YML022W or YPR144C or YJL039C or YDL171C or YMR271C or YGR144W or YGL195W or YFR047C or YNL191W or YLR209C or YDR441C or YMR247C or YML106W or YDR399W or YLR017W or YJR133W or YDR354W or YBL004W or YMR300C or YHR128W or YER055C or YKL014C
Hypoxanthine,7,rxn2295,2'-deoxyadenosine + hypoxanthine => 2'-deoxyinosine + adenine,YBL037W or YML022W or YPR144C or YJL039C or YDL171C or YMR271C or YGR144W or YGL195W or YFR047C or YNL191W or YLR209C or YDR441C or YMR247C or YML106W or YDR399W or YLR017W or YJR133W or YDR354W or YBL004W or YMR300C or YHR128W or YER055C or YKL014C
Hypoxanthine,8,rxn2301,cytidine + hypoxanthine => cytosine + inosine,YBL037W or YML022W or YPR144C or YJL039C or YDL171C or YMR271C or YGR144W or YGL195W or YFR047C or YNL191W or YLR209C or YDR441C or YMR247C or YML106W or YDR399W or YLR017W or YJR133W or YDR354W or YBL004W or YMR300C or YHR128W or YER055C or YKL014C
Hypoxanthine,9,rxn2302,guanosine + hypoxanthine => guanine + inosine,YBL037W or YML022W or YPR144C or YJL039C or YDL171C or YMR271C or YGR144W or YGL195W or YFR047C or YNL191W or YLR209C or YDR441C or YMR247C or YML106W or YDR399W or YLR017W or YJR133W or YDR354W or YBL004W or YMR300C or YHR128W or YER055C or YKL014C
Hypoxanthine,10,rxn2303,hypoxanthine + uridine => inosine + uracil,YBL037W or YML022W or YPR144C or YJL039C or YDL171C or YMR271C or YGR144W or YGL195W or YFR047C or YNL191W or YLR209C or YDR441C or YMR247C or YML106W or YDR399W or YLR017W or YJR133W or YDR354W or YBL004W or YMR300C or YHR128W or YER055C or YKL014C
Hypoxanthine,11,rxn2304,adenosine + hypoxanthine => adenine + inosine,YBL037W or YML022W or YPR144C or YJL039C or YDL171C or YMR271C or YGR144W or YGL195W or YFR047C or YNL191W or YLR209C or YDR441C or YMR247C or YML106W or YDR399W or YLR017W or YJR133W or YDR354W or YBL004W or YMR300C or YHR128W or YER055C or YKL014C
Hypoxanthine,12,rxn2564,hypoxanthine + d-ribose => H2O + inosine,YKR044W or YKL219W or YHL017W or YJL039C or YMR065W or YPR071W or YHL030W or YBR302C or YPL271W or YLR305C or YPR079W or YJL159W or YJR118C or YML060W or YMR247C or YIL017C or YOL043C or YMR029C or YKL058W or YPR036W or YJL207C or YBL004W or YDR400W or YBR140C or YML132W or YKL142W or YJL055W or YGL002W or YOR249C or YNL212W or YDL215C or YOL081W or YML103C or YKL014C or YER187W or YML021C or YER142C or YFL060C or YNL334C or YMR096W or YFL059W or YNL333W or YMR095C
