Product name,Predicted reaction number,Predicted reaction Yeast-MetaTwin ID,Predicted reaction,Predicted genes of reaction
L-serine,1,rxn72,L-serine + pe(16:1/0:0) => ethanolamine + 1-acylglycerophosphoserine (16:1),YNL130C or YBR243C or YHR123W or YDR414C or YKR051W or YBR147W or YCL004W or YER026C or YDL142C or YGR170W or YPL148C or YPR113W or YGL154C or YOL092W
L-serine,2,rxn414,H+ + L-serine + sn-glycero-3-phosphoethanolamine => ethanolamine + sn-glycero-3-phosphoserine,YNL130C or YBR243C or YHR123W or YDR414C or YKR051W or YBR147W or YCL004W or YER026C or YDL142C or YGR170W or YPL148C or YPR113W or YGL154C or YOL092W
L-serine,3,rxn415,H+ + L-serine + sn-glycero-3-phosphocholine => choline + sn-glycero-3-phosphoserine,YNL130C or YBR243C or YHR123W or YDR414C or YKR051W or YBR147W or YCL004W or YER026C or YDL142C or YGR170W or YPL148C or YPR113W or YGL154C or YOL092W
L-serine,4,rxn855,"2 H+ + L-serine + phosphatidate (1-18:1, 2-18:1) => H2O + phosphatidyl-L-serine (1-18:0, 2-18:1)",YLR097C or YJL198W or YHR058C or YER119C or YBR119W or YGR247W or YPR083W or YNR013C or YLR310C or YFL054C or YBR039W or YAL017W or YEL013W or YOR360C or YER019W or YHR151C or YEL016C or YKR031C or YJR001W or YOR336W or YPL206C or YOL041C or YHR026W or YKR019C or YCR037C or YMR319C or YAL024C or YGL248W or YDR006C or YOR270C or YNL101W or YPL268W or YNL321W or YOR227W or YMR218C or YBL089W or YML037C or YMR054W or YKL146W or YDL110C or YPL152W or YJL129C or YBR207W or YGR197C
L-serine,5,rxn858,"2 H+ + L-serine + phosphatidate (1-16:1, 2-18:1) => H2O + phosphatidyl-L-serine (1-16:1, 2-18:1)",YLR097C or YJL198W or YHR058C or YER119C or YBR119W or YGR247W or YPR083W or YNR013C or YLR310C or YFL054C or YBR039W or YAL017W or YEL013W or YOR360C or YER019W or YHR151C or YEL016C or YKR031C or YJR001W or YOR336W or YPL206C or YOL041C or YHR026W or YKR019C or YCR037C or YMR319C or YAL024C or YGL248W or YDR006C or YOR270C or YNL101W or YPL268W or YNL321W or YOR227W or YMR218C or YBL089W or YML037C or YMR054W or YKL146W or YDL110C or YPL152W or YJL129C or YBR207W or YGR197C
L-serine,6,rxn859,"2 H+ + L-serine + phosphatidate (1-16:1, 2-16:1) => H2O + phosphatidyl-L-serine (1-16:0, 2-16:1)",YLR097C or YJL198W or YHR058C or YER119C or YBR119W or YGR247W or YPR083W or YNR013C or YLR310C or YFL054C or YBR039W or YAL017W or YEL013W or YOR360C or YER019W or YHR151C or YEL016C or YKR031C or YJR001W or YOR336W or YPL206C or YOL041C or YHR026W or YKR019C or YCR037C or YMR319C or YAL024C or YGL248W or YDR006C or YOR270C or YNL101W or YPL268W or YNL321W or YOR227W or YMR218C or YBL089W or YML037C or YMR054W or YKL146W or YDL110C or YPL152W or YJL129C or YBR207W or YGR197C
L-serine,7,rxn862,2 H+ + L-serine + 1-acyl-sn-glycerol 3-phosphate (18:1) => H2O + 1-acylglycerophosphoserine (18:1),YLR097C or YJL198W or YHR058C or YER119C or YBR119W or YGR247W or YPR083W or YNR013C or YLR310C or YFL054C or YBR039W or YAL017W or YEL013W or YOR360C or YER019W or YHR151C or YEL016C or YKR031C or YJR001W or YOR336W or YPL206C or YOL041C or YHR026W or YKR019C or YCR037C or YMR319C or YAL024C or YGL248W or YDR006C or YOR270C or YNL101W or YPL268W or YNL321W or YOR227W or YMR218C or YBL089W or YML037C or YMR054W or YKL146W or YDL110C or YPL152W or YJL129C or YBR207W or YGR197C
L-serine,8,rxn863,2 H+ + L-serine + 1-acyl-sn-glycerol 3-phosphate (16:1) => H2O + 1-acylglycerophosphoserine (16:1),YLR097C or YJL198W or YHR058C or YER119C or YBR119W or YGR247W or YPR083W or YNR013C or YLR310C or YFL054C or YBR039W or YAL017W or YEL013W or YOR360C or YER019W or YHR151C or YEL016C or YKR031C or YJR001W or YOR336W or YPL206C or YOL041C or YHR026W or YKR019C or YCR037C or YMR319C or YAL024C or YGL248W or YDR006C or YOR270C or YNL101W or YPL268W or YNL321W or YOR227W or YMR218C or YBL089W or YML037C or YMR054W or YKL146W or YDL110C or YPL152W or YJL129C or YBR207W or YGR197C
L-serine,9,rxn1105,L-serine + 1-acylglycerophosphocholine (18:0) => choline + 1-acylglycerophosphoserine (18:0),YNL130C or YBR243C or YHR123W or YDR414C or YKR051W or YBR147W or YCL004W or YER026C or YDL142C or YGR170W or YPL148C or YPR113W or YGL154C or YOL092W
L-serine,10,rxn1106,L-serine + 1-acylglycerophosphocholine (16:0) => choline + 1-acylglycerophosphoserine (16:0),YNL130C or YBR243C or YHR123W or YDR414C or YKR051W or YBR147W or YCL004W or YER026C or YDL142C or YGR170W or YPL148C or YPR113W or YGL154C or YOL092W
L-serine,11,rxn1314,"H+ + L-serine + pe(18:1/18:1) => ethanolamine + phosphatidyl-L-serine (1-18:0, 2-18:1)",YNL130C or YBR243C or YHR123W or YDR414C or YKR051W or YBR147W or YCL004W or YER026C or YDL142C or YGR170W or YPL148C or YPR113W or YGL154C or YOL092W
L-serine,12,rxn1315,"H+ + L-serine + pe(18:0/18:1) => ethanolamine + phosphatidyl-L-serine (1-18:0, 2-18:1)",YNL130C or YBR243C or YHR123W or YDR414C or YKR051W or YBR147W or YCL004W or YER026C or YDL142C or YGR170W or YPL148C or YPR113W or YGL154C or YOL092W
L-serine,13,rxn1316,H+ + L-serine + pe(18:1/0:0) => ethanolamine + 1-acylglycerophosphoserine (18:1),YNL130C or YBR243C or YHR123W or YDR414C or YKR051W or YBR147W or YCL004W or YER026C or YDL142C or YGR170W or YPL148C or YPR113W or YGL154C or YOL092W
L-serine,14,rxn1317,H+ + L-serine + pe(16:1/0:0) => ethanolamine + 1-acylglycerophosphoserine (16:1),YNL130C or YBR243C or YHR123W or YDR414C or YKR051W or YBR147W or YCL004W or YER026C or YDL142C or YGR170W or YPL148C or YPR113W or YGL154C or YOL092W
L-serine,15,rxn1318,H+ + L-serine + pe(18:0/0:0) => ethanolamine + 1-acylglycerophosphoserine (18:0),YNL130C or YBR243C or YHR123W or YDR414C or YKR051W or YBR147W or YCL004W or YER026C or YDL142C or YGR170W or YPL148C or YPR113W or YGL154C or YOL092W
