Product name,Predicted reaction number,Predicted reaction Yeast-MetaTwin ID,Predicted reaction,Predicted genes of reaction
Putrescine,1,rxn475,3-aminopropanal + H+ + NADPH + putrescine => H2O + NADP(+) + spermidine,YER004W or YKR080W or YIR034C or YER023W or YGL125W or YOR236W or YNR050C or YPL023C or YLR011W
Putrescine,2,rxn478,H+ + NADPH + putrescine + acetamidopropanal => H2O + N(1)-acetylspermidine + NADP(+),YER004W or YKR080W or YIR034C or YER023W or YGL125W or YOR236W or YNR050C or YPL023C or YLR011W
Putrescine,3,rxn1287,2-oxoglutarate + putrescine => 4-aminobutanal + L-glutamate,YHR208W or YLR438W or YIL087C or YER152C or YDR111C or YJR148W or YNR033W or YIL116W or YGR243W or YHR137W or YMR084W or YNR058W or YMR085W or YKL104C or YER137C or YHR162W or YOL140W or YGL202W or YKL106W or YFL030W or YLR089C or YLR201C or YLR027C or YJL060W or YOR184W or YGR019W or YLR333C or YDR204W
Putrescine,4,rxn1288,2-oxoadipic acid + putrescine => 4-aminobutanal + L-2-aminoadipate,YHR208W or YLR438W or YIL087C or YER152C or YDR111C or YJR148W or YNR033W or YIL116W or YGR243W or YHR137W or YMR084W or YNR058W or YMR085W or YKL104C or YER137C or YHR162W or YOL140W or YGL202W or YKL106W or YFL030W or YLR089C or YLR201C or YLR027C or YJL060W or YOR184W or YGR019W or YLR333C or YDR204W
Putrescine,5,rxn1289,oxaloacetate + putrescine => 4-aminobutanal + L-aspartate,YHR208W or YLR438W or YIL087C or YER152C or YDR111C or YJR148W or YNR033W or YIL116W or YGR243W or YHR137W or YMR084W or YNR058W or YMR085W or YKL104C or YER137C or YHR162W or YOL140W or YGL202W or YKL106W or YFL030W or YLR089C or YLR201C or YLR027C or YJL060W or YOR184W or YGR019W or YLR333C or YDR204W
Putrescine,6,rxn1290,putrescine + 2-Oxoglutaramate => 4-aminobutanal + L-glutamine,YHR208W or YLR438W or YIL087C or YER152C or YDR111C or YJR148W or YNR033W or YIL116W or YGR243W or YHR137W or YMR084W or YNR058W or YMR085W or YKL104C or YER137C or YHR162W or YOL140W or YGL202W or YKL106W or YFL030W or YLR089C or YLR201C or YLR027C or YJL060W or YOR184W or YGR019W or YLR333C or YDR204W
Putrescine,7,rxn1291,4-hydroxy-2-oxoglutarate + putrescine => 4-aminobutanal + erythro-4-hydroxy-L-glutamic acid,YHR208W or YLR438W or YIL087C or YER152C or YDR111C or YJR148W or YNR033W or YIL116W or YGR243W or YHR137W or YMR084W or YNR058W or YMR085W or YKL104C or YER137C or YHR162W or YOL140W or YGL202W or YKL106W or YFL030W or YLR089C or YLR201C or YLR027C or YJL060W or YOR184W or YGR019W or YLR333C or YDR204W
Putrescine,8,rxn1396,2-oxoglutarate + H+ + putrescine => 4-aminobutanal + L-glutamate,YHR208W or YLR438W or YIL087C or YER152C or YDR111C or YJR148W or YNR033W or YIL116W or YGR243W or YHR137W or YMR084W or YNR058W or YMR085W or YKL104C or YER137C or YHR162W or YOL140W or YGL202W or YKL106W or YFL030W or YLR089C or YLR201C or YLR027C or YJL060W or YOR184W or YGR019W or YLR333C or YDR204W
Putrescine,9,rxn1397,2-oxoadipic acid + H+ + putrescine => 4-aminobutanal + L-2-aminoadipate,YHR208W or YLR438W or YIL087C or YER152C or YDR111C or YJR148W or YNR033W or YIL116W or YGR243W or YHR137W or YMR084W or YNR058W or YMR085W or YKL104C or YER137C or YHR162W or YOL140W or YGL202W or YKL106W or YFL030W or YLR089C or YLR201C or YLR027C or YJL060W or YOR184W or YGR019W or YLR333C or YDR204W
Putrescine,10,rxn1398,H+ + oxaloacetate + putrescine => 4-aminobutanal + L-aspartate,YHR208W or YLR438W or YIL087C or YER152C or YDR111C or YJR148W or YNR033W or YIL116W or YGR243W or YHR137W or YMR084W or YNR058W or YMR085W or YKL104C or YER137C or YHR162W or YOL140W or YGL202W or YKL106W or YFL030W or YLR089C or YLR201C or YLR027C or YJL060W or YOR184W or YGR019W or YLR333C or YDR204W
Putrescine,11,rxn1399,H+ + putrescine + 2-Oxoglutaramate => 4-aminobutanal + L-glutamine,YHR208W or YLR438W or YIL087C or YER152C or YDR111C or YJR148W or YNR033W or YIL116W or YGR243W or YHR137W or YMR084W or YNR058W or YMR085W or YKL104C or YER137C or YHR162W or YOL140W or YGL202W or YKL106W or YFL030W or YLR089C or YLR201C or YLR027C or YJL060W or YOR184W or YGR019W or YLR333C or YDR204W
Putrescine,12,rxn1400,4-hydroxy-2-oxoglutarate + H+ + putrescine => 4-aminobutanal + erythro-4-hydroxy-L-glutamic acid,YHR208W or YLR438W or YIL087C or YER152C or YDR111C or YJR148W or YNR033W or YIL116W or YGR243W or YHR137W or YMR084W or YNR058W or YMR085W or YKL104C or YER137C or YHR162W or YOL140W or YGL202W or YKL106W or YFL030W or YLR089C or YLR201C or YLR027C or YJL060W or YOR184W or YGR019W or YLR333C or YDR204W
Putrescine,13,rxn1585,3-aminopropanal + H+ + NADH + putrescine => H2O + NAD + spermidine,YER004W or YKR080W or YIR034C or YER023W or YGL125W or YOR236W or YNR050C or YPL023C or YLR011W
Putrescine,14,rxn1588,H+ + NADH + putrescine + acetamidopropanal => H2O + N(1)-acetylspermidine + NAD,YER004W or YKR080W or YIR034C or YER023W or YGL125W or YOR236W or YNR050C or YPL023C or YLR011W
Putrescine,15,rxn1941,2-oxoglutarate + putrescine => gamma-aminobutyrate + L-glutamic 5-semialdehyde,YHR208W or YLR438W or YIL087C or YER152C or YDR111C or YJR148W or YNR033W or YIL116W or YGR243W or YHR137W or YMR084W or YNR058W or YMR085W or YKL104C or YER137C or YHR162W or YOL140W or YGL202W or YKL106W or YFL030W or YLR089C or YLR201C or YLR027C or YJL060W or YOR184W or YGR019W or YLR333C or YDR204W
Putrescine,16,rxn2122,H2O + oxygen + putrescine => 4-aminobutanal + ammonium + hydrogen peroxide,YBR035C or YFR033C or YMR020W
