KEGG_id,color,width
C00025,#0868ac,W40
C00026,#0868ac,W40
C00124,#0868ac,W40
C00022,#0868ac,W40
C00049,#2b8cbe,W35
C00036,#2b8cbe,W35
C00019,#2b8cbe,W35
C00712,#2b8cbe,W35
C08362,#2b8cbe,W35
C00065,#2b8cbe,W35
C00064,#2b8cbe,W35
C02336,#2b8cbe,W35
C00041,#2b8cbe,W35
C00021,#2b8cbe,W35
C03916,#2b8cbe,W35
C00109,#2b8cbe,W35
C00055,#2b8cbe,W35
C04102,#4eb3d3,W30
C00249,#4eb3d3,W30
C00073,#4eb3d3,W30
C00189,#4eb3d3,W30
C01127,#4eb3d3,W30
C01179,#4eb3d3,W30
C00082,#4eb3d3,W30
C01530,#4eb3d3,W30
C00037,#4eb3d3,W30
C00097,#4eb3d3,W30
C00024,#4eb3d3,W30
C00093,#4eb3d3,W30
C00206,#4eb3d3,W30
C00079,#4eb3d3,W30
C00047,#4eb3d3,W30
C00166,#4eb3d3,W30
C00117,#4eb3d3,W30
C00123,#4eb3d3,W30
C05947,#4eb3d3,W30
C00510,#4eb3d3,W30
C00233,#7bccc4,W25
C00940,#7bccc4,W25
C00266,#7bccc4,W25
C00671,#7bccc4,W25
C00149,#7bccc4,W25
C00089,#7bccc4,W25
C00048,#7bccc4,W25
C00329,#7bccc4,W25
C00469,#7bccc4,W25
C00601,#7bccc4,W25
C01602,#7bccc4,W25
C00407,#7bccc4,W25
C00116,#7bccc4,W25
C00033,#7bccc4,W25
C00322,#7bccc4,W25
C01180,#7bccc4,W25
C00114,#7bccc4,W25
C00258,#7bccc4,W25
C05345,#7bccc4,W25
C00042,#7bccc4,W25
C01165,#7bccc4,W25
C00956,#7bccc4,W25
C00140,#7bccc4,W25
C00154,#7bccc4,W25
C13888,#7bccc4,W25
C00134,#7bccc4,W25
C21072,#7bccc4,W25
C00412,#7bccc4,W25
C00061,#7bccc4,W25
C00016,#7bccc4,W25
C02229,#7bccc4,W25
C00387,#7bccc4,W25
C00299,#7bccc4,W25
C00334,#7bccc4,W25
C01083,#7bccc4,W25
C02714,#7bccc4,W25
C00197,#7bccc4,W25
C07086,#7bccc4,W25
C00360,#7bccc4,W25
C00957,#7bccc4,W25
C00063,#7bccc4,W25
C00051,#7bccc4,W25
C00212,#7bccc4,W25
C00132,#7bccc4,W25
C00555,#7bccc4,W25
C00027,#7bccc4,W25
C01352,#7bccc4,W25
C00111,#7bccc4,W25
C00099,#7bccc4,W25
C00986,#7bccc4,W25
C00035,#7bccc4,W25
C00689,#7bccc4,W25
C00156,#7bccc4,W25
C00180,#7bccc4,W25
C00475,#7bccc4,W25
C00492,#7bccc4,W25
C00147,#7bccc4,W25
C04076,#7bccc4,W25
C01177,#7bccc4,W25
C00257,#7bccc4,W25
C00131,#7bccc4,W25
C03067,#7bccc4,W25
C00084,#7bccc4,W25
C01847,#7bccc4,W25
C06424,#7bccc4,W25
C00422,#7bccc4,W25
C00222,#7bccc4,W25
C00263,#7bccc4,W25
C13833,#7bccc4,W25
C01571,#7bccc4,W25
C05936,#7bccc4,W25
C01005,#7bccc4,W25
C00437,#7bccc4,W25
C00216,#7bccc4,W25
C00092,#7bccc4,W25
C00208,#7bccc4,W25
C00137,#7bccc4,W25
C00242,#7bccc4,W25
C03351,#7bccc4,W25
C04501,#7bccc4,W25
C06156,#7bccc4,W25
