smile,score,sim_smile
COc1cc(-c2[o+]c3cc(O)cc([O-])c3cc2[O-])ccc1O,1,COc1cc(-c2[o+]c3cc(O)cc(O)c3cc2O)ccc1O
[NH3+]C(CCC=O)C(=O)[O-],1,NC(CCC=O)C(=O)O
O=C(O)[C@@H](O)C(O)C(O)C(O)CO,1,O=C(O)C(O)C(O)C(O)C(O)CO
CCCCCCCCCCCCCC(=O)OC1CCC2(C)C(=CCC3C2CCC2(C)C(C(C)CCCC(C)C)CCC32)C1,0, 
CCCCCCCCCCCC(=O)OC(CO)COP(=O)([O-])[O-],0, 
[NH3+]C(CCCC[NH2+]C(CCC(=O)O)C(=O)[O-])C(=O)[O-],1,NC(CCCCNC(CCC(=O)O)C(=O)O)C(=O)O
O=P(O)(O)OCC(O)C(O)c1c[nH]c2ccccc12,1,O=P([O-])([O-])OCC(O)C(O)c1c[nH]c2ccccc12
O=C([O-])C[C@H](C(=O)[O-])C(=O)C(=O)[O-],0, 
O=C([O-])C1=C[C@@H](O)[C@@H](O)C(O)C1,1,O=C(O)C1=CC(O)C(O)C(O)C1
CCCCCCCCCCCCCCCCCCCCCCCCCC(=O)NC(COP(=O)([O-])OC1C(O)C(O)C(O)C(O)C1O)C(O)[C@H](O)CCCCCCCCCCCCCC,1,CCCCCCCCCCCCCCCCCCCCCCCCCC(=O)NC(COP(=O)(O)OC1C(O)C(O)C(O)C(O)C1O)C(O)C(O)CCCCCCCCCCCCCC
CC(C)(CO)[C@@H](O)C(=O)O,1,CC(C)(CO)C(O)C(=O)[O-]
O=C(O)C1O[C@@H](Oc2c(-c3ccc(O)c(O)c3)oc3cc([O-])cc(O)c3c2=O)C(O)C(O)C1O,1,O=C(O)C1OC(Oc2c(-c3ccc(O)c(O)c3)oc3cc(O)cc(O)c3c2=O)C(O)C(O)C1O
O=c1c([O-])c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,1,O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12
CC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCc1cc(C(=O)O)ccc1O,1,CC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCc1cc(C(=O)O)ccc1O
CCCCCCCCCC(=O)O[C@@H](CO)COP(=O)(O)O,0, 
CCCCCCC=CCCCCCCCC(=O)O[C@@H](CO)COP(=O)(O)OCCN,0, 
O=c1ccn(C2CC(O)C(COP(=O)([O-])OP(=O)([O-])[O-])O2)c(=O)[nH]1,1,O=c1ccn(C2CC(O)C(COP(=O)(O)OP(=O)(O)O)O2)c(=O)[nH]1
OCC(O)CO[C@H]1OC(CO)C(O)C(O)C1O,0, 
O=CCC(O)C(O)C(O)CO,1,O=CCC(O)C(O)C(O)CO
[NH3+]C(CC[Se]CC([NH3+])C(=O)[O-])C(=O)[O-],0, 
CCCCCCCCC[C@H](O)CC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)([O-])[O-],1,CCCCCCCCCC(O)CC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O
CCCCCCC=CCCCCCCCC(=O)OC(CO)COP(=O)([O-])[O-],0, 
CSCCC(=O)C(=O)COP(=O)(O)O,1,CSCCC(=O)C(=O)COP(=O)(O)O
O=CC(O)C(O)C(O)COP(=O)([O-])O,1,O=CC(O)C(O)C(O)COP(=O)([O-])[O-]
CC(C)=CCCC(C)C1CCC2C3=C(CCC21C)C1(C)CCC(O)[C@@](C)(C=O)C1CC3,0, 
NC(=O)CCC(=O)C(=O)O,1,NC(=O)CCC(=O)C(=O)O
Nc1ccn(C2OC(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)C(O)C2O)c(=O)n1,1,Nc1ccn(C2OC(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)C(O)C2O)c(=O)n1
CC(O)C([NH3+])C(=O)[O-],1,CC(O)C(N)C(=O)O
