new_met_smiles,sim_smile,ID,compartment
CC(N)C(O)=NC(CC(=O)O)C(=O)O,CC(N)C(=O)NC(CC(=O)O)C(=O)O,s_4120,c
CCCCCCCCCCCCCCCCCCCC=CC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O,CCCCCCCCCCCCCCCCCCCC=CC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)([O-])[O-],s_2813,erm
C=C(OC1C=C(C(=O)O)C=CC1O)C(=O)[O-],C=C(OC1C=C(C(=O)O)C=CC1O)C(=O)O,s_0515,c
NC(=O)c1ncn(C2OC(COP(=O)(O)O)C(O)C2O)c1N=CN[C@@H]1O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]1O,NC(=O)c1ncn(C2OC(COP(=O)([O-])[O-])C(O)C2O)c1N=CNC1OC(COP(=O)([O-])[O-])C(O)C1O,s_0077,c
Nc1nc2c(c(=O)[nH]1)N=C(CNc1ccc(C(=O)NC(CCC(=O)[O-])C(=O)[O-])cc1)CN2,Nc1nc2c(c(=O)[nH]1)N=C(CNc1ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc1)CN2,s_0625,c
CC(C)C(=O)C(=O)O,CC(C)C(=O)C(=O)O,s_0232,c
O=CCc1ccccc1,O=CCc1ccccc1,s_1318,c
C=C(CCC(C)C1CCC2C3=C(CCC21C)C1(C)CCC(OC(=O)CCCCCCCC=CCCCCCCCC)CC1CC3)C(C)C,C=C(CCC(C)C1CCC2C3=C(CCC21C)C1(C)CCC(OC(=O)CCCCCCCC=CCCCCCCCC)CC1CC3)C(C)C,s_3436,erm
NC(CS(=O)[O-])C(=O)O,NC(CS(=O)O)C(=O)O,s_4104,c
CC(C)(CO)C(O)C(=O)O,CC(C)(CO)C(O)C(=O)[O-],s_0030,c
OC1COC(O)[C@@H](O)C1O,OC1COC(O)C(O)C1O,s_0575,c
CCCCCCCCCCCCCCCCCCCCCC=CC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)([O-])[O-],CCCCCCCCCCCCCCCCCCCCCC=CC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O,s_2814,erm
CC(=O)NC(CCC(=O)[O-])C(=O)[O-],CC(=O)NC(CCC(=O)O)C(=O)O,s_4173,c
OC1=C([O-])C(=O)OC1CO,O=C1OC(CO)C(O)=C1O,s_0607,c
CCCCCCCCC=CCCCCCCCC(=O)OC(COC(=O)CCCCCCCCCCCCCCC)COP(=O)([O-])OC1C(O)C(O)C(O)C(O)C1O,CCCCCCCCC=CCCCCCCCC(=O)OC(COC(=O)CCCCCCCCCCCCCCC)COP(=O)(O)OC1C(O)C(O)C(O)C(O)C1O,s_3553,c
C[C@@H](CO)C(=O)[O-],CC(CO)C(=O)[O-],s_3864,m
O=c1ccn(C2CC(O)C(COP(=O)(O)OP(=O)([O-])OP(=O)([O-])O)O2)c(=O)[nH]1,O=c1ccn(C2CC(O)C(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O2)c(=O)[nH]1,s_0656,c
CCCCCCCCCCCCCCCCCCCCCCC(O)C(=O)NC(COP(=O)([O-])OC1C(O)C(O)C(O)C(O)C1OC1OC(CO)C(O)C(O)C1O)C(O)CCCCCCCCCCCCCCC,CCCCCCCCCCCCCCCCCCCCCCC(O)C(=O)NC(COP(=O)(O)OC1C(O)C(O)C(O)C(O)C1OC1OC(CO)C(O)C(O)C1O)C(O)CCCCCCCCCCCCCCC,s_1128,er
NC(=O)NC1NC(=O)NC1=O,NC(=O)NC1NC(=O)NC1=O,s_0407,c
CC(C)(CO)[C@@H](O)C(=O)[O-],CC(C)(CO)C(O)C(=O)[O-],s_0030,c
O=c1ccn(C2OC(COP(=O)([O-])OP(=O)([O-])O[C@H]3OC(CO)C(O)C(O)C3O)C(O)C2O)c(=O)[nH]1,O=c1ccn(C2OC(COP(=O)(O)OP(=O)(O)OC3OC(CO)C(O)C(O)C3O)C(O)C2O)c(=O)[nH]1,s_1541,c
Nc1ccn(C2OC3COP(=O)(O)OC3C2O)c(=O)n1,Nc1ccn(C2OC3COP(=O)(O)OC3C2O)c(=O)n1,s_0193,c
CC(C)=CCCC(C)=CCCC(C)=CCO,CC(C)=CCCC(C)=CCCC(C)=CCO,s_4303,c
CCCCCCCCC[C@@H](C)O, ,sn_1,c
CCCCC/C=C/C(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)([O-])[O-],CCCCCC=CC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O,s_2888,p
[NH3+][C@H](CCC(=O)[O-])C(=O)[O-],NC(CCC(=O)O)C(=O)O,s_0991,c
CCCCCCCCCCCCCCCCCC(=O)OC(CO)COP(=O)([O-])[O-], ,sn_2,c
[NH3+]C(CC[SeH])C(=O)[O-], ,sn_3,c
CC(O)CC(=O)SCCN=C(O)CCN=C(O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O,CC(O)CC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O,s_2902,p
O=C1OC(CO)C([O-])=C1O,O=C1OC(CO)C(O)=C1O,s_0607,c
O=c1ccn(C2OC(COP(=O)(O)OP(=O)([O-])OP(=O)([O-])O)C(O)C2O)c(=O)[nH]1,O=c1ccn(C2OC(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)C(O)C2O)c(=O)[nH]1,s_1559,c
Cc1ncc(CO)c(O)n1, ,sn_4,c
Cc1cc2nc3c(=O)[nH]c(=O)nc-3n(CC(O)C(O)C(O)COP(=O)([O-])O)c2cc1C,Cc1cc2nc3c(=O)[nH]c(=O)nc-3n(CC(O)C(O)C(O)COP(=O)(O)O)c2cc1C,s_0714,c
O=C([O-])C=C(CC(=O)[O-])C(=O)[O-],O=C(O)C=C(CC(=O)O)C(=O)O,s_0516,c
CC[C@H]([NH3+])C(=O)[O-],CCC([NH3+])C(=O)[O-],s_4079,c
CCCCCCCCCCCCCC(=O)O[C@H](CO)COP(=O)(O)OCCN, ,sn_5,c
O=[N+]([O-])c1ccc(O)cc1,O=[N+]([O-])c1ccc(O)cc1,s_3860,c
O=P([O-])([O-])OC1OC(COP(=O)(O)O)C(O)C(O)C1O, ,sn_6,c
CCCCCCCCCCCCCCCCCCCCC[C@H](O)C(O)C(=O)NC(COP(=O)(O)OC1C(O)C(O)C(O)C(O)C1OC1OC(CO)C(O)C(O)C1O)C(O)C(O)CCCCCCCCCCCCCC,CCCCCCCCCCCCCCCCCCCCCC(O)C(O)C(=O)NC(COP(=O)(O)OC1C(O)C(O)C(O)C(O)C1OC1OC(CO)C(O)C(O)C1O)C(O)C(O)CCCCCCCCCCCCCC,s_1140,er
Nc1ncnc2c1ncn2C1CC(O)C(COP(=O)([O-])[O-])O1,Nc1ncnc2c1ncn2C1CC(O)C(COP(=O)(O)O)O1,s_0584,c
CC[C@@H](O)C(=O)[O-], ,sn_7,c
Nc1ccn(C2OC(COP(=O)([O-])OP(=O)([O-])[O-])C(O)C2O)c(=O)n1,Nc1ccn(C2OC(COP(=O)(O)OP(=O)(O)O)C(O)C2O)c(=O)n1,s_0467,c
