new_met_smiles,sim_smile,ID,compartment
NCCc1ccc(O)cc1, ,sn_1,c
Cc1cc2c(cc1C)N(CC(O)C(O)C(O)COP(=O)([O-])OP(=O)([O-])OCC1OC(n3cnc4c(N)ncnc43)C(O)C1O)c1[nH]c(=O)[nH]c(=O)c1N2,Cc1cc2c(cc1C)N(CC(O)C(O)C(O)COP(=O)(O)OP(=O)(O)OCC1OC(n3cnc4c(N)ncnc43)C(O)C1O)c1[nH]c(=O)[nH]c(=O)c1N2,s_0689,c
CCC/C=C\C(=O)O, ,sn_2,c
[NH3+]C(C[C@@H](O)C(=O)[O-])C(=O)[O-],NC(CC(O)C(=O)O)C(=O)O,s_0677,c
CCCCCCCCCCCCCCC[C@@H](O)CC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)([O-])[O-],CCCCCCCCCCCCCCCC(O)CC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O,s_0229,p
C=C(CCC(C)C1CCC2C3=CCC4CC(OC(=O)CCCCCCCC=CCCCCCC)CCC4(C)C3CCC21C)C(C)C,C=C(CCC(C)C1CCC2C3=CCC4CC(OC(=O)CCCCCCCC=CCCCCCC)CCC4(C)C3CCC21C)C(C)C,s_3434,erm
NC(CC[SeH])C(=O)O, ,sn_3,c
Nc1nc2c(ncn2[C@@H]2OC(COP(=O)([O-])[O-])C(O)C2O)c(=O)[nH]1,Nc1nc2c(ncn2C2OC(COP(=O)(O)O)C(O)C2O)c(=O)[nH]1,s_0782,c
O=C(O)C(O)COP(=O)(O)O,O=C([O-])C(O)COP(=O)([O-])[O-],s_0260,c
Cc1cn(C2CC(O)C(COP(=O)([O-])OP(=O)([O-])O)O2)c(=O)[nH]c1=O,Cc1cn(C2CC(O)C(COP(=O)(O)OP(=O)(O)O)O2)c(=O)[nH]c1=O,s_0647,c
