smile,score,sim_smile
NCCc1ccc(O)cc1,0, 
Cc1cc2c(cc1C)N(CC(O)C(O)C(O)COP(=O)([O-])OP(=O)([O-])OCC1OC(n3cnc4c(N)ncnc43)C(O)C1O)c1[nH]c(=O)[nH]c(=O)c1N2,1,Cc1cc2c(cc1C)N(CC(O)C(O)C(O)COP(=O)(O)OP(=O)(O)OCC1OC(n3cnc4c(N)ncnc43)C(O)C1O)c1[nH]c(=O)[nH]c(=O)c1N2
CCC/C=C\C(=O)O,0, 
[NH3+]C(C[C@@H](O)C(=O)[O-])C(=O)[O-],1,NC(CC(O)C(=O)O)C(=O)O
CCCCCCCCCCCCCCC[C@@H](O)CC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)([O-])[O-],1,CCCCCCCCCCCCCCCC(O)CC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O
C=C(CCC(C)C1CCC2C3=CCC4CC(OC(=O)CCCCCCCC=CCCCCCC)CCC4(C)C3CCC21C)C(C)C,1,C=C(CCC(C)C1CCC2C3=CCC4CC(OC(=O)CCCCCCCC=CCCCCCC)CCC4(C)C3CCC21C)C(C)C
NC(CC[SeH])C(=O)O,0, 
CC1(CC(=O)O)c2cc3nc(cc4[nH]c(cc5[nH]c(cc(n2)C1CCC(=O)O)c(CC(=O)O)c5CCC(=O)O)c(CCC(=O)O)c4CC(=O)O)C(C)(CC(=O)O)C3CCC(=O)O,1,CC1(CC(=O)O)c2cc3nc(cc4[nH]c(cc5[nH]c(cc(n2)C1CCC(=O)O)c(CC(=O)O)c5CCC(=O)O)c(CCC(=O)O)c4CC(=O)O)C(C)(CC(=O)O)C3CCC(=O)O
Nc1nc2c(ncn2[C@@H]2OC(COP(=O)([O-])[O-])C(O)C2O)c(=O)[nH]1,1,Nc1nc2c(ncn2C2OC(COP(=O)(O)O)C(O)C2O)c(=O)[nH]1
O=C(O)C(O)COP(=O)(O)O,1,O=C([O-])C(O)COP(=O)([O-])[O-]
Cc1cn(C2CC(O)C(COP(=O)([O-])OP(=O)([O-])O)O2)c(=O)[nH]c1=O,1,Cc1cn(C2CC(O)C(COP(=O)(O)OP(=O)(O)O)O2)c(=O)[nH]c1=O
O=C(O)c1ccccc1NC1OC(COP(=O)(O)O)C(O)C1O,1,O=C(O)c1ccccc1NC1OC(COP(=O)(O)O)C(O)C1O
O=P(O)(O)OCC(O)C(O)c1cnc[nH]1,1,O=P(O)(O)OCC(O)C(O)c1cnc[nH]1
CCCCCCCCCCCCCCCCCCCCCCCC(=O)NC(COP(=O)(O)OC1C(O)C(O)C(O)C(O)C1O)C(O)CCCCCCCCCCCCCCC,1,CCCCCCCCCCCCCCCCCCCCCCCC(=O)NC(COP(=O)([O-])OC1C(O)C(O)C(O)C(O)C1O)C(O)CCCCCCCCCCCCCCC
Nc1nc2c(ncn2C2OC3COP(=O)([O-])OC3C2O)c(=O)[nH]1,1,Nc1nc2c(ncn2C2OC3COP(=O)(O)OC3C2O)c(=O)[nH]1
CC(C)=CCCC(C)C1CCC2C3=C(CCC21C)C1(C)CC[C@@H](O)C(C)C1CC3,1,CC(C)=CCCC(C)C1CCC2C3=C(CCC21C)C1(C)CCC(O)C(C)C1CC3
CCCCCCCCCCCCCCCC(=O)O[C@H](CO)COP(=O)(O)OCC(N)C(=O)O,0, 
[NH3+][C@H](Cc1ccc(O)cc1)C(=O)[O-],1,NC(Cc1ccc(O)cc1)C(=O)O
Cc1ncc(C[n+]2csc(CCOP(=O)([O-])[O-])c2C)c(N)n1,1,Cc1ncc(C[n+]2csc(CCOP(=O)(O)O)c2C)c(N)n1
CC([NH3+])C(=O)NC(Cc1c[nH]cn1)C(=O)O,1,CC(N)C(=O)NC(Cc1cnc[nH]1)C(=O)O
Nc1ccn(C2CC(O)C(COP(=O)([O-])OP(=O)([O-])O)O2)c(=O)n1,1,Nc1ccn(C2CC(O)C(COP(=O)(O)OP(=O)(O)O)O2)c(=O)n1
CCCCCOC(C)=O,0, 
O=C[C@@H](O)C(O)C(O)COP(=O)([O-])[O-],1,O=CC(O)C(O)C(O)COP(=O)([O-])[O-]
[NH3+][C@H](CC(=O)[O-])C(=O)[O-],1,NC(CC(=O)O)C(=O)O
CCCCCCCCCCCCCCCCCCCCCC[C@@H](O)C(=O)NC(COP(=O)(O)OC1C(O)C(O)C(O)C(O)C1O)C(O)C(O)CCCCCCCCCCCCCC,1,CCCCCCCCCCCCCCCCCCCCCCC(O)C(=O)NC(COP(=O)(O)OC1C(O)C(O)C(O)C(O)C1O)C(O)C(O)CCCCCCCCCCCCCC
[NH3+]C(CO)C(=O)O,1,NC(CO)C(=O)O
O=C([O-])CCc1c2[nH]c(c1CC(=O)O)Cc1[nH]c(c(CCC(=O)O)c1CC(=O)O)Cc1[nH]c(c(CC(=O)O)c1CCC(=O)O)Cc1[nH]c(c(CC(=O)O)c1CCC(=O)O)C2,1,O=C(O)CCc1c2[nH]c(c1CC(=O)O)Cc1[nH]c(c(CC(=O)O)c1CCC(=O)O)Cc1[nH]c(c(CC(=O)O)c1CCC(=O)O)Cc1[nH]c(c(CCC(=O)O)c1CC(=O)O)C2
CC(C)(COP(=O)(O)O)C(O)C(=O)NCCC(=O)O,1,CC(C)(COP(=O)(O)O)C(O)C(=O)NCCC(=O)O
CC(=O)N[C@H]1[C@@H](OP(=O)([O-])OP(=O)([O-])OCC2OC(n3ccc(=O)[nH]c3=O)C(O)C2O)OC(CO)C(O)[C@@H]1O,1,CC(=O)NC1C(OP(=O)(O)OP(=O)(O)OCC2OC(n3ccc(=O)[nH]c3=O)C(O)C2O)OC(CO)C(O)C1O
O=C(COP(=O)([O-])[O-])[C@@H](O)C(O)C(O)C(O)COP(=O)([O-])[O-],1,O=C(COP(=O)(O)O)C(O)C(O)C(O)C(O)COP(=O)(O)O
O=P(O)(O)OC1(CO)OC(CO)C(O)C1O,0, 
[NH3+]C(COP(=O)([O-])[O-])C(=O)[O-],1,[NH3+]C(COP(=O)([O-])[O-])C(=O)[O-]
O=c1nc(O)c2ncn(C3OC(COP(=O)(O)O)C(O)C3O)c2[nH]1,1,O=c1[nH]c(=O)c2ncn(C3OC(COP(=O)(O)O)C(O)C3O)c2[nH]1
O=C([O-])C(O)C(O)C(O)C(O)C(=O)[O-],1,O=C(O)C(O)C(O)C(O)C(O)C(=O)O
CC(C)=CCCC(C)C1CCC2C3=C(CCC21C)C1(C)CC[C@H](O)C(C)(C(=O)O)C1CC3,1,CC(C)=CCCC(C)C1CCC2C3=C(CCC21C)C1(C)CCC(O)C(C)(C(=O)O)C1CC3
