smile,score,sim_smile
O=Cc1ccco1,0, 
O=C(C=Cc1ccc(O)cc1)OCC1OC(Oc2cc3c([O-])cc(O)cc3[o+]c2-c2cc(O)c(O)c(O)c2)C(O)C(O)C1O,0, 
CC1OC(n2cnc3c(N)ncnc32)C(O)C1O,1,CC1OC(n2cnc3c(N)ncnc32)C(O)C1O
O=C([O-])CC[C@@](O)(CC(=O)[O-])C(=O)[O-],1,O=C(O)CCC(O)(CC(=O)O)C(=O)O
COC1=C(OC)C(=O)C(CC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)C)=C(C)C1=O,1,COC1=C(OC)C(=O)C(CC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)C)=C(C)C1=O
O=C(O)C1OC(OP(=O)(O)OP(=O)(O)OCC2OC(n3ccc(O)nc3=O)C(O)C2O)C(O)C(O)C1O,0, 
O=c1[nH]cnc2c1ncn2C1OC(COP(=O)(O)O)C(O)C1O,1,O=c1[nH]cnc2c1ncn2C1OC(COP(=O)(O)O)C(O)C1O
NC1C(OC2C(O)C(O)C(O)C(O)C2OP(=O)(O)OCC(COC=O)OC=O)OC(CO)C(O)C1O,1,NC1C(OC2C(O)C(O)C(O)C(O)C2OP(=O)(O)OCC(COC=O)OC=O)OC(CO)C(O)C1O
NC(CCCCNC(CCC(=O)[O-])C(=O)O)C(=O)O,1,NC(CCCCNC(CCC(=O)O)C(=O)O)C(=O)O
CCCCCCCCCCCCCC(O)CC(=O)[O-],0, 
NC(N)=O,1,NC(N)=O
C[S+](CCC[NH3+])CC1OC(n2cnc3c(N)ncnc32)C(O)C1O,1,C[S+](CCCN)CC1OC(n2cnc3c(N)ncnc32)C(O)C1O
Nc1ncnc2c1ncn2C1OC(COP(=O)([O-])OP(=O)([O-])[O-])C(O)[C@H]1O,1,Nc1ncnc2c1ncn2C1OC(COP(=O)(O)OP(=O)(O)O)C(O)C1O
O=C([O-])C(=O)CC(O)C(O)C(O)COP(=O)([O-])[O-],1,O=C(O)C(=O)CC(O)C(O)C(O)COP(=O)(O)O
O=C([O-])CC(O)(CC(=O)O)C(=O)[O-],1,O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-]
