smile,score,sim_smile,inchikey0
CC(N)C(=O)NCC(=O)O,1,,CXISPYVYMQWFLE
CN1c2c(nc(N)[nH]c2=O)NCC1CNc1ccc(C(=O)NC(CCC(=O)NC(CCC(=O)NC(CCC(=O)O)C(=O)O)C(=O)O)C(=O)O)cc1,1,,HVRNKDVLFAVCJF
CCCCC=CCCCCCCCCCC(=O)OCC(COP(=O)(O)OCCN)OC(=O)CCCCCCCC=CCCCCCCCC,1,,AWSDNJXQDWNKPF
O=C(O)C(O)C(O)C(O)C(O)C(=O)O,1,,DSLZVSRJTYRBFB
O=P([O-])([O-])OP(=O)([O-])[O-],1,,XPPKVPWEQAFLFU
O[C@@H]1[C@@H](COC(=O)\C=C\C2=CC=C(O)C=C2)O[C@@H](OC2=C([O+]=C3C=C(O)C=C(O)C3=C2)C2=CC(O)=C(O)C(O)=C2)[C@H](O)[C@H]1O,1,,DHTPVCYNNWQRMN
CCCCCCCC(O)CC(=O)O,1,,FYSSBMZUBSBFJL
CCCCCCCCCCCCCC(=O)CC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O,1,,NQMPLXPCRJOSHL
Cc1c[nH]c(=O)[nH]c1=O,1,,RWQNBRDOKXIBIV
CC(C)=CCCC(C)=CCCC(C)=CC(=O)O,1,,WJHFZYAELPOJIV
CCCCCCCCC=CCCCCCCCC(=O)OCC(=O)COP(=O)(O)O,1,,YZKFNNQAEBNCEN
CC(C)(COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O)C(O)C(=O)NCCC(=O)NCCS,1,,RGJOEKWQDUBAIZ
CCCCC=CCCCCCCCCCC(=O)OCC(COP(=O)(O)OCC(O)COP(=O)(O)OCC(COC(=O)CCCCCCCCCC=CCCCC)OC(=O)CCCCCCCCCCCCCCCCC)OC(=O)CCCCCCCC=CCCCCCC,1,,FHUHIJYKPGQDMK
CCCCCCC=CCCCCCCCC(=O)OCC(COP(=O)(O)OCC(O)CO)OC(=O)CCCCCCCCCCCCCCCCC,1,,UTZFGBMGFFOIGB
CCCC(O)CC(=O)OCC,1,,LYRIITRHDCNUHV
O=C([O-])COP(=O)([O-])[O-],1,,ASCFNMCAHFUBCO
O=P([O-])([O-])O.[NH4+].[NH4+],1,,MNNHAPBLZZVQHP
Nc1ccn(C2OC(CO)C(O)C2OP(=O)(O)O)c(=O)n1,1,,YQUAKORMLHPSLZ
NCCCCCNCCCN,1,,QZBYOYPROVGOGE
O=C(O)C=C(CC(=O)O)C(=O)O,1,,GTZCVFVGUGFEME
CC(C)C(O)(CC(=O)O)C(=O)O,1,,BITYXLXUCSKTJS
CCCCCCCCCCCCCCCCCCCCCCCC(O)C(O)C(=O)NC(COP(=O)([O-])OC1C(O)C(O)C(O)C(O)C1O)C(O)C(O)CCCCCCCCCCCCCC,1,,BUJDESZERWRJFC
NCCS,1,,UFULAYFCSOUIOV
O=C(O)c1ccccc1,1,,WPYMKLBDIGXBTP
CCCCCCC=CCCCCCCCC(=O)OCC(COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCC=CCCCCCC,1,,GPWHCUUIQMGELX
CC(=O)NC(CS)C(=O)O,1,,PWKSKIMOESPYIA
O=P(O)(O)OC1(CO)OC(CO)C(O)C1O,1,,PMTUDJVZIGZBIX
CCCCC=CCCCCCCCCCC(=O)OC(COC(=O)CCCCCCCC=CCCCCCC)COP(=O)(O)OCC(O)COP(=O)(O)OCC(COC(=O)CCCCCCCCCCCCCCC)OC(=O)CCCCCCCC=CCCCCCC,1,,NOHKLESRPMGFTH
Nc1nc2ncc(CNc3ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc3)nc2c(=O)[nH]1,1,,OVBPIULPVIDEAO
Nc1ccccc1C(=O)O,1,,RWZYAGGXGHYGMB
CC(C)C(C)O,1,,MXLMTQWGSQIYOW
CC(=O)NC1C(OP(=O)(O)OP(=O)(O)OCC2OC(n3ccc(=O)[nH]c3=O)C(O)C2O)OC(CO)C(O)C1O,1,,LFTYTUAZOPRMMI
CC(C=O)CCCC(C)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CCC12C,1,,YWGOKHMOJTZGBN
CC(=O)CN,1,,BCDGQXUMWHRQCB
CCCCCOC(C)=O,1,,PGMYKACGEOXYJE
NCC(=O)CCC(=O)O,1,,ZGXJTSGNIOSYLO
O=CCC(=O)[O-],1,,OAKURXIZZOAYBC
CC(C(=O)O)C(=O)O,1,,ZIYVHBGGAOATLY
CCCCCCCCCCCCCCCCCC(=O)CC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O,1,,FYBVHNZJDVUVLJ
CC(=O)OCC(C)C,1,,GJRQTCIYDGXPES
CCCCCCCCCCCCCCCCCC(O)CC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O,1,,KNSVYMFEJLUJST
CCCCCCC=CCCCCCCCCCC(=O)OCC(COP(=O)(O)OP(=O)(O)OCC1OC(n2ccc(N)nc2=O)C(O)C1O)OC(=O)CCCCCCCCCC=CCCCCCC,1,,KISJWPWNABZPGN
CCCCCCCCC=CCCCCCCCC(=O)OCC(COC(=O)CCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCCCCCC,1,,NPCZZYKITFKRQZ
O=S([O-])[O-],1,,LSNNMFCWUKXFEE
NC(CCC(=O)OP(=O)([O-])O)C(=O)[O-],1,,PJRXVIJAERNUIP
CCCCC=CCCCCCCCCCC(=O)OCC(COP(=O)(O)OC1C(O)C(O)C(O)C(O)C1O)OC(=O)CCCCCCCC=CCCCCCC,1,,QJCACGSVMQYQQQ
CCCCC=CCCCCCCCCCC(=O)OC(COC(=O)CCCCCCCCCCCCCCC)COP(=O)(O)OCC(O)COP(=O)(O)OCC(COC(=O)CCCCCCCC=CCCCCCCCC)OC(=O)CCCCCCCC=CCCCCCCCC,1,,VFXFKQOGOXMMTC
CC(C)c1ccc(C=O)cc1,1,,WTWBUQJHJGUZCY
CCCCCCCCCC(=O)O,1,,GHVNFZFCNZKVNT
CC(=O)C(=O)[O-],1,,LCTONWCANYUPML
Nc1nc2c(c(=O)[nH]1)N=C(COP(=O)(O)OP(=O)(O)O)CN2,1,,FCQGJGLSOWZZON
CC(C)C(C)C=CC(C)C1CCC2C3=CC=C4CC(O)CCC4(C)C3CCC21C,1,,DNVPQKQSNYMLRS
NC(CC[SeH])C(=O)O,1,,RCWCGLALNCIQNM
O=C(O)C(=O)Cc1ccccc1,1,,BTNMPGBKDVTSJY
CCCCCCCCCCCCCCCCCCCCCCCCC(O)C(=O)NC(COP(=O)(O)OC1C(O)C(O)C(O)C(O)C1O)C(O)C(O)CCCCCCCCCCCCCC,1,,PMXMKGYRVPAIJJ
C=CC(=O)O,1,,NIXOWILDQLNWCW
C=C(N)C(=O)O,1,,UQBOJOOOTLPNST
O=CCC(O)C(O)C(O)CO,1,,VRYALKFFQXWPIH
CC1(CC(=O)O)C2=Cc3[nH]c(c(CCC(=O)O)c3CC(=O)O)Cc3[nH]c(c(CC(=O)O)c3CCC(=O)O)C=C3NC(=CC(=N2)C1CCC(=O)O)C(C)(CC(=O)O)C3CCC(=O)O,1,,OQIIYZQTTMKFAU
CCCCCCCOC(C)=O,1,,ZCZSIDMEHXZRLG
Nc1ccn(C2OC(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)C(O)C2O)c(=O)n1,1,,PCDQPRRSZKQHHS
C=CC(N)=O,1,,HRPVXLWXLXDGHG
CC(C)=CCCC(C)=CCCC(C)=CCCC=C(C)CCC=C(C)CCC=C(C)C,1,,YYGNTYWPHWGJRM
[Cl-].COC1=CC(=CC(O)=C1O)C1=C(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)C=C2C(O)=CC(O)=CC2=[O+]1,1,,HBKZHMZCXXQMOX
O=C(O)C(COP(=O)(O)O)OP(=O)(O)O,1,,XOHUEYCVLUUEJJ
Nc1c2ncn(C3OC(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)C(O)C3O)c2nc[n+]1C1OC(COP(=O)(O)O)C(O)C1O,1,,KYTPWZMUSLPBJZ
Nc1ncnc2c1ncn2C1CC(O)C(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O1,1,,SUYVUBYJARFZHO
CC(=O)NC(Cc1ccc(O)cc1)C(=O)O,1,,CAHKINHBCWCHCF
CCCCCCCCCCCCCCCCCCCCCCC(O)C(=O)NC(COP(=O)(O)OC1C(O)C(O)C(O)C(O)C1OC1OC(COP(=O)(O)OC2C(O)C(O)C(O)C(O)C2O)C(O)C(O)C1O)C(O)C(O)CCCCCCCCCCCCCC,1,,JNTPDJPEDWWEHF
