EC,yeast8,yeast8U,ratio
1.8.99,0,620,0.0
1.1.1,158,451,2.8544303797468356
1.1.99,11,433,39.36363636363637
1.14.13,6,391,65.16666666666667
1.14.11,2,385,192.5
1.11.2,1,266,266.0
1.97.1,0,258,0.0
1.11.1,11,233,21.181818181818183
1.14.14,3,226,75.33333333333333
1.3.1,27,203,7.518518518518518
1.2.1,37,156,4.216216216216216
1.21.99,0,146,0.0
1.8.1,28,140,5.0
1.3.7,0,122,0.0
1.14.18,10,70,7.0
1.8.5,5,58,11.6
1.4.1,1,50,50.0
1.10.3,2,48,24.0
1.5.1,11,43,3.909090909090909
1.4.3,5,40,8.0
1.6.5,8,40,5.0
1.16.3,3,38,12.666666666666666
1.3.99,1,36,36.0
1.8.3,1,36,36.0
1.16.1,2,34,17.0
1.1.3,1,32,32.0
1.8.98,0,32,0.0
1.1.5,1,25,25.0
1.3.3,20,22,1.1
1.5.3,3,19,6.333333333333333
1.14.99,6,12,2.0
1.14.19,7,9,1.2857142857142858
1.4.4,8,8,1.0
1.17.4,8,8,1.0
1.3.5,4,7,1.75
1.13.11,3,6,2.0
1.3.8,3,6,2.0
1.3.98,1,6,6.0
1.14.12,2,5,2.5
1.17.1,1,4,4.0
1.2.4,4,4,1.0
1.17.99,1,4,4.0
1.13.12,1,4,4.0
1.6.2,3,3,1.0
1.20.4,2,3,1.5
1.8.4,3,3,1.0
1.1.2,2,2,1.0
1.18.1,2,2,1.0
1.14.17,1,2,2.0
1.7.5,1,2,2.0
1.15.1,2,2,1.0
1.5.5,1,1,1.0
1.12.98,0,1,0.0
2.1.1,66,1486,22.515151515151516
2.4.1,125,1289,10.312
2.7.7,43,1279,29.74418604651163
2.7.11,18,1033,57.388888888888886
2.7.1,300,843,2.81
2.3.1,554,787,1.4205776173285198
2.6.1,42,662,15.761904761904763
2.7.4,48,502,10.458333333333334
2.7.8,102,385,3.7745098039215685
2.7.10,1,365,365.0
2.3.2,14,319,22.785714285714285
2.5.1,67,192,2.8656716417910446
2.4.2,21,138,6.571428571428571
2.7.12,1,111,111.0
2.7.6,7,110,15.714285714285714
2.7.13,9,98,10.88888888888889
2.8.4,8,93,11.625
2.7.3,6,89,14.833333333333334
2.2.1,5,45,9.0
2.1.3,1,35,35.0
2.1.2,15,27,1.8
2.3.3,11,11,1.0
2.8.1,6,11,1.8333333333333333
2.7.2,5,5,1.0
2.4.99,2,2,1.0
3.4.21,12,1102,91.83333333333333
3.6.4,39,1051,26.94871794871795
3.1.1,291,987,3.3917525773195876
3.1.3,206,813,3.9466019417475726
3.6.1,46,539,11.717391304347826
3.6.5,15,498,33.2
3.1.4,121,451,3.727272727272727
3.4.16,15,421,28.066666666666666
3.2.1,28,384,13.714285714285714
3.1.2,20,347,17.35
3.2.2,14,318,22.714285714285715
3.1.21,0,271,0.0
3.4.19,19,228,12.0
3.4.22,0,193,0.0
3.4.14,9,185,20.555555555555557
3.1.13,0,131,0.0
3.5.1,23,110,4.782608695652174
3.4.23,8,59,7.375
3.1.26,0,59,0.0
3.1.7,0,44,0.0
3.1.11,0,40,0.0
3.5.4,18,38,2.111111111111111
3.4.11,4,20,5.0
3.4.13,3,17,5.666666666666667
3.4.17,1,14,14.0
3.3.2,9,9,1.0
3.5.99,0,8,0.0
3.7.1,2,7,3.5
3.3.1,1,6,6.0
3.5.3,2,4,2.0
3.4.24,1,4,4.0
3.5.2,2,2,1.0
3.6.2,0,2,0.0
4.2.3,10,544,54.4
4.6.1,11,384,34.90909090909091
4.2.1,75,314,4.1866666666666665
4.1.1,37,160,4.324324324324325
4.1.3,9,155,17.22222222222222
4.4.1,7,126,18.0
4.99.1,4,112,28.0
4.3.2,7,88,12.571428571428571
4.3.3,3,87,29.0
4.2.99,0,34,0.0
4.1.2,7,27,3.857142857142857
4.3.1,5,20,4.0
4.1.99,4,8,2.0
4.5.1,1,1,1.0
4.2.2,1,1,1.0
5.4.99,5,466,93.2
5.2.1,3,293,97.66666666666667
5.3.2,6,152,25.333333333333332
5.5.1,4,141,35.25
5.3.99,8,91,11.375
5.6.2,0,80,0.0
5.3.4,4,75,18.75
5.3.1,7,24,3.4285714285714284
5.1.3,4,20,5.0
5.4.2,7,17,2.4285714285714284
5.3.3,9,12,1.3333333333333333
5.6.1,2,4,2.0
5.1.1,1,1,1.0
6.2.1,45,95,2.111111111111111
6.3.2,7,49,7.0
6.3.4,17,35,2.0588235294117645
6.1.1,35,35,1.0
6.3.5,11,23,2.090909090909091
6.3.3,6,23,3.8333333333333335
6.4.1,5,23,4.6
6.3.1,4,11,2.75
7.1.1,16,1052,65.75
7.6.2,63,116,1.8412698412698412
7.5.2,3,113,37.666666666666664
7.2.2,16,96,6.0
7.2.1,6,93,15.5
7.1.2,5,5,1.0
7.3.2,1,1,1.0
