Name,Group,class,yeast8_reaction_lst,yeast8_reaction_num,yeast8U_reaction_lst,yeast8U_reaction_num
Thymidine,native,nucleic acid,"['r_2074', 'r_2075']",2,"['r_2074', 'r_2075', 'rxn31947', 'rxn5122', 'rxn5123', 'rxn3802', 'rxn3805']",7
Guanine,native,nucleic acid,"['r_0526', 'r_0527', 'r_0949', 'r_1176', 'r_1819', 'r_4758']",6,"['r_0526', 'r_0527', 'r_0949', 'r_1176', 'r_1819', 'r_4758', 'rxn18968', 'rxn7317', 'rxn6322', 'rxn6324', 'rxn6327', 'rxn6329', 'rxn6331', 'rxn6407', 'rxn6409', 'rxn6410', 'rxn6434', 'rxn6435', 'rxn6475', 'rxn6477', 'rxn6492', 'rxn6494', 'rxn6495', 'rxn3194']",24
Spermine,native,bioamine,"['r_0937', 'r_1262', 'r_1263', 'r_1739']",4,"['r_0937', 'r_1262', 'r_1263', 'r_1739', 'rxn3891', 'rxn103']",6
Putrescine,native,bioamine,"['r_1001', 'r_1251', 'r_1252']",3,"['r_1001', 'r_1251', 'r_1252', 'rxn17955', 'rxn17959', 'rxn14110', 'rxn14111', 'rxn14112', 'rxn14113', 'rxn14114', 'rxn16677', 'rxn16678', 'rxn16679', 'rxn16680', 'rxn16681', 'rxn65061', 'rxn65064', 'rxn70221', 'rxn8498']",19
Urea,native,other,"['r_0189', 'r_1075', 'r_1273', 'r_4210']",4,"['r_0189', 'r_1075', 'r_1273', 'r_4210']",4
Ergosterol,native,other,"['r_1068', 'r_1147', 'r_1148', 'r_1758', 'r_1759', 'r_3552', 'r_4063']",7,"['r_1068', 'r_1147', 'r_1148', 'r_1758', 'r_1759', 'r_3552', 'r_4063', 'rxn885']",8
Acetaldehyde,native,other,"['r_0095', 'r_0173', 'r_0960', 'r_1632', 'r_1633', 'r_2115', 'r_2116', 'r_4273']",8,"['r_0095', 'r_0173', 'r_0960', 'r_1632', 'r_1633', 'r_2115', 'r_2116', 'r_4273', 'rxn27715', 'rxn27716', 'rxn23873', 'rxn29530', 'rxn40104', 'rxn13470', 'rxn57110', 'rxn57111', 'rxn57112', 'rxn57113', 'rxn64386', 'rxn70766', 'rxn5916', 'rxn27']",22
Xanthine,native,alkaloid,"['r_1091', 'r_2101']",2,"['r_1091', 'r_2101', 'rxn34128', 'rxn14393', 'rxn14425', 'rxn35725', 'rxn6342', 'rxn6344', 'rxn6346', 'rxn3186', 'rxn233']",11
Hypoxanthine,native,alkaloid,"['r_0562', 'r_0951', 'r_1842']",3,"['r_0562', 'r_0951', 'r_1842', 'rxn14285', 'rxn14320', 'rxn14424', 'rxn7319', 'rxn6332', 'rxn6334', 'rxn6336', 'rxn6357', 'rxn6358', 'rxn6359', 'rxn6361', 'rxn3187']",15
Choline,native,alkaloid,"['r_0273', 'r_1684', 'r_4332']",3,"['r_0273', 'r_1684', 'r_4332', 'rxn39930', 'rxn39933', 'rxn9721', 'rxn9722', 'rxn5447', 'rxn5448', 'rxn5461', 'rxn5463', 'rxn5464', 'rxn4161', 'rxn4163', 'rxn4164', 'rxn4166', 'rxn4203', 'rxn4205', 'rxn4208', 'rxn4209', 'rxn4211', 'rxn4212', 'rxn4214']",23
