Name,class,byproduct,EC number,byproduct_num
Nicotianamine,amino acid,0,[],0
Psilocybin,alkaloid,6,"['1.13.11', '1.14.14', '3.1.8', '1.14.13']",6
(S)-Reticuline,alkaloid,15,"['1.14.19', '1.14.13', '1.14.21', '1.14.14']",15
Ethylene,other,1,['1.14.13'],1
"1,3,5-Trihydroxyxanthone",other,16,"['1.1.1', '1.14.13', '1.13.12', '3.1.3', '1.14.99', '1.11.2', '1.14.14', '4.2.1', '1.11']",16
Resveratrol,other,17,"['1.1.1', '1.14.13', '1.6.5', '1.13.12', '3.1.3', '1.13.11', '1.97.1', '1.11.2', '1.14.14', '4.2.1', '1.11']",17
Eicosapentaenoic acid,fatty acids and lipids,13,"['1.13.11', '5.2.1', '1.2.1', '1.14.14']",13
Arachidonate,fatty acids and lipids,19,"['5.2.1', '1.14.13', '1.13.11', '1.14.14', '1.2.1']",19
Docosahexaenoate,fatty acids and lipids,23,"['5.2.1', '1.13.11', '1.14.14', '5.3.3', '1.2.1']",23
1-Butanol,alcohol,1,['1.1.3'],1
Docosanol,alcohol,1,['1.1.3'],1
L-Phenylacetylcarbinol,alcohol,4,"['1.1.1', '1.14.13']",4
3-Hydroxypropanoate,organic acid,0,[],0
Adipic acid,organic acid,1,['1.2.1'],1
"cis,cis-Muconate",organic acid,1,['5.5.1'],1
Itaconic acid,organic acid,3,"['3.1.1', '1.2.1']",3
Catechin,flavonoid,16,"['1.1.1', '1.14.13', '1.13.12', '3.1.3', '1.13.11', '1.3.1', '1.14.14']",16
Quercetin,flavonoid,18,"['1.1.1', '1.14.13', '1.13.12', '3.1.3', '1.14.99', '1.13.11', '1.3.1', '1.14.14', '1.97.1']",18
Genistein,flavonoid,18,"['1.1.1', '1.14.13', '1.13.12', '3.1.3', '1.14.99', '1.3.1', '1.11.2', '4.2.1', '1.14.14', '1.11']",18
Kaempferol,flavonoid,18,"['1.1.1', '1.14.13', '1.13.12', '3.1.3', '1.14.99', '1.11.2', '1.14.14', '4.2.1', '1.11']",18
Naringenin,flavonoid,21,"['1.1.1', '1.14.13', '1.13.12', '3.1.3', '1.11.2', '1.14.14', '1.3.1', '4.2.1', '5.5.1', '1.11', '3.7.1']",21
Mandelic,aromatic,1,['1.2.1'],1
Tyrosol,aromatic,2,"['1.14.14', '1.14.18', '1.14.13']",2
Cinnamate,aromatic,9,"['1.1.1', '1.14.13', '3.6.1', '1.14.12', '1.3.1', '1.14.14', '4.1.1', '1.2.1']",9
p-Coumaric acid,aromatic,11,"['5.2.1', '1.14.13', '1.6.5', '3.1.3', '1.14.19', '1.3.1', '1.14.14', '4.2.1', '1.14.18']",11
4-Hydroxymandelic,aromatic,11,"['1.1.1', '1.14.13', '1.6.5', '3.1.3', '1.14.19', '4.2.1', '1.14.18']",11
Salidroside,aromatic,16,"['5.4.99', '2.4.1', '1.14.13', '3.2.1', '3.1.3', '1.1.99', '1.14.14']",16
Rosmarinate,aromatic,16,"['1.14', '3.1.1', '1.1.1', '1.14.13', '1.13.11', '1.3.1', '1.14.14']",16
Linalool,terpene,5,"['5.4.4', '4.2.1', '1.14.13']",5
Santalene,terpene,5,"['1.14.14', '1.14.13']",5
Betaxanthin,terpene,6,"['1.14.21', '1.14.19', '1.14.13', '1.14.14']",6
Astaxanthin,terpene,8,"['1.1.1', '1.14.13', '1.14.99', '1.13.11']",8
Limonene,terpene,9,"['1.14.15', '1.14.13', '1.14.14', '4.2.1', '1.17.8']",9
Amorphadiene,terpene,9,"['4.2.1', '1.14.15', '1.14.13']",9
Artemisinic acid,terpene,9,"['1.1.1', '1.14.13', '1.3.1', '4.2.1']",9
β-Ionone,terpene,9,"['1.1.1', '1.14.13', '1.6.99', '1.14.99', '1.3.1', '1.14.14']",9
α-Farnesene,terpene,15,"['1.1.1', '1.14.13', '1.14.14', '4.2.1', '1.17.8', '1.3.8']",15
Geraniol,terpene,16,"['5.4.4', '1.1.1', '1.14.13', '3.1.3', '1.14.14', '4.2.1', '1.1.3', '1.17.8', '1.3.8']",16
β-Carotene,terpene,18,"['1.14.13', '1.13.12', '1.13.11', '1.14.14', '1.3.8']",18
Patchoulol,terpene,19,"['4.1.99', '1.14.13', '1.14.15', '1.14.14', '1.17.99']",19
Lupeol,terpene,33,"['1.14.15', '1.14.13', '1.14.11', '1.14.19', '1.3.1', '1.14.14']",33
β-Amyrin,terpene,36,"['1.14.13', '1.14.21', '1.14.15', '1.14.99', '1.14.19', '1.3.1', '1.14.14', '1.14.18', '5.3.3']",36
Oleanolic acid,terpene,42,"['1.14.15', '1.14.13', '3.1.3', '1.14.99', '1.3.1', '1.14.14', '1.17.99', '1.1.3', '1.2.1']",42
Protopanaxadiol,terpene,50,"['4.1.99', '1.14.13', '1.14.15', '1.14.18', '3.1.3', '1.14.99', '1.14.19', '1.17.99', '1.3.1', '1.14.14', '4.2.1', '1.1.3']",50
