smiles,match_rules,reaction_num,carbon_count
NC(=O)c1ccc[n+](C2OC(COP(=O)([O-])OP(=O)(O)OCC3OC(n4cnc5c(N)ncnc54)C(O)C3O)C(O)C2O)c1,2170,677,21
NC(=O)c1ccc[n+]([C@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)([O-])[O-])[C@@H]3O)[C@@H](O)[C@H]2O)c1,2392,645,21
NC(=O)C1=CN(C2OC(COP(=O)(O)OP(=O)(O)OCC3OC(n4cnc5c(N)ncnc54)C(O)C3O)C(O)C2O)C=CC1,2070,633,21
Nc1ncnc2c1ncn2[C@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@@H]1O,2269,563,10
Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)O)[C@@H](O)[C@@H]1O,2224,408,10
Nc1ncnc2c1ncn2C1OC(COP(=O)(O)OP(=O)(O)O)C(O)C1O,2283,396,10
CC(C)(COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-])[C@@H](O)C(=O)NCCC(=O)NCCS,2848,354,21
O=c1ccn(C2OC(COP(=O)(O)OP(=O)(O)O)C(O)C2O)c(=O)[nH]1,2329,264,9
[NH3+][C@H](CCC(=O)[O-])C(=O)[O-],2000,231,5
OC[C@H]1OC(O)[C@@H](O)[C@@H](O)[C@@H]1O,2226,214,6
Nc1nc2c(ncn2[C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]2O)c(=O)[nH]1,2309,213,10
Nc1ccn(C2OC(COP(=O)(O)OP(=O)(O)O)C(O)C2O)c(=O)n1,2355,210,9
O=c1[nH]cnc2c1ncn2C1OC(COP(=O)(O)OP(=O)(O)O)C(O)C1O,2285,208,10
CC(=O)C(=O)[O-],1197,207,3
O=C(O)CCC(=O)C(=O)O,2170,198,5
CC(=O)[O-],620,194,2
O=c1ccn(C2CC(O)C(COP(=O)(O)OP(=O)(O)O)O2)c(=O)[nH]1,2376,191,9
[NH3+][C@@H](CC(=O)[O-])C(=O)[O-],1858,189,4
Nc1ccn(C2OC(COP(=O)(O)O)C(O)C2O)c(=O)n1,2598,181,9
Nc1ccn(C2CC(O)C(COP(=O)(O)OP(=O)(O)O)O2)c(=O)n1,2366,177,9
Cc1cn(C2CC(O)C(COP(=O)(O)OP(=O)(O)O)O2)c(=O)[nH]c1=O,2304,174,10
O=c1ccn([C@@H]2O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]2O)c(=O)[nH]1,2266,170,9
Nc1nc2c(ncn2[C@@H]2O[C@H](CO)[C@@H](O)[C@@H]2O)c(=O)[nH]1,1394,167,10
O=P(O)(O)OCC1OC(n2cnc3c(O)ncnc32)C(O)C1O,2547,166,10
Nc1nc2c(ncn2[C@@H]2O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]2O)c(=O)[nH]1,2245,163,10
Nc1nc2c(ncn2C2CC(O)C(COP(=O)(O)OP(=O)(O)O)O2)c(=O)[nH]1,2320,160,10
OC[C@@H]1O[C@@](O)(CO)[C@H](O)[C@H]1O,1823,158,6
O=c1ccn([C@@H]2O[C@H](CO)[C@@H](O)[C@@H]2O)c(=O)[nH]1,1485,156,9
O=P(O)(O)OCC1O[C@H](O)C(O)C(O)C1O,2861,149,6
NC(=O)CC[C@@H]([NH3+])C(=O)[O-],2142,146,5
O=C([O-])CC(=O)C(=O)[O-],2037,144,4
O=c1ccn(C2CC(O)C(COP(=O)(O)O)O2)c(=O)[nH]1,2309,143,9
O=P([O-])([O-])O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O,2926,143,6
CC(N)C(=O)O,1345,140,3
[NH3+][C@@H](CO)C(=O)[O-],1904,137,3
O=c1ccn([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]2O)c(=O)[nH]1,2315,136,9
Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)[C@@H]2O)c(=O)n1,1496,134,9
Nc1ccn(C2CC(O)C(COP(=O)(O)O)O2)c(=O)n1,2302,133,9
Cc1cn([C@@H]2C[C@@H](O)[C@H](COP(=O)(O)O)O2)c(=O)[nH]c1=O,2239,130,10
Nc1ccn([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]2O)c(=O)n1,2341,130,9
CCC(=O)C(=O)[O-],1236,129,4
