new_met_smiles,sim_smile,ID,compartment
CCOC(=O)c1ccc(O)cc1, ,sn_1,c
CCCCCC=CCC=CCCCCCCCC(=O)OC[C@@H](O)COP(=O)([O-])OCC[N+](C)(C)C, ,sn_2,c
CCCCCCCCCCCCCC(=O)OCC(O)COP(=O)(O)OCC([NH3+])C(=O)[O-], ,sn_3,c
CCCCCCC=CCCCCCCCC(=O)OC(COC(=O)CCCCCCCC=CCCCCCCCC)COP(=O)([O-])OCC([NH3+])C(=O)[O-],CCCCCCC=CCCCCCCCC(=O)OC(COC(=O)CCCCCCCC=CCCCCCCCC)COP(=O)(O)OCC(N)C(=O)O,s_3112,erm
OCC1OC(n2cnc3c(O)nc(O)nc32)C(O)C1O,O=c1[nH]c(=O)c2ncn(C3OC(CO)C(O)C3O)c2[nH]1,s_1563,c
O=C(CO)[C@H](O)C(O)C(O)CO, ,sn_4,c
[NH3+][C@@H]1C(O)C(O)C(COP(=O)(O)O)O[C@@H]1O,NC1C(O)OC(COP(=O)(O)O)C(O)C1O,s_0412,c
NC(=O)c1ccc[n+]([C@@H]2OC(COP(=O)([O-])[O-])C(O)C2O)c1,NC(=O)c1ccc[n+](C2OC(COP(=O)([O-])O)C(O)C2O)c1,s_1224,c
Nc1ccccc1C(=O)C[C@@H]([NH3+])C(=O)O,Nc1ccccc1C(=O)CC(N)C(=O)O,s_1020,c
CCCCCCCCCCCCCCCCCC(=O)OCC(O)COP(=O)([O-])OCC[NH3+], ,sn_5,c
CCCCCCCCCCCCCCCC(=O)OC[C@H](O)COP(=O)(O)OC1C(O)C(O)C(O)C(O)C1O,CCCCCCCCCCCCCCCC(=O)OCC(O)COP(=O)(O)OC1C(O)C(O)C(O)C(O)C1O,s_3491,ce
N[C@H](CCC(=O)[O-])C(=O)O,NC(CCC(=O)O)C(=O)O,s_0991,c
CC(=O)NCCCC[NH2+]CCC[NH3+], ,sn_6,c
[NH3+][C@@H](CCCC(=O)O)C(=O)[O-],NC(CCCC(=O)O)C(=O)O,s_0953,c
CCCCCCC=CCCCCCCCC(=O)OC[C@H](O)COP(=O)(O)OCCN, ,sn_7,c
CCCCCCCCCCC/C=C/C(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O,CCCCCCCCCCCC=CC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O,s_1519,p
CCCCCCCCCCCCCCCCCC(=O)O[C@@H](CO)COP(=O)(O)OCCN, ,sn_8,c
CCCCCCC=CCCCCCCCC(=O)OCC(COC(=O)CCCCCCCCCCCCCCCCCCCCC)OC(=O)CCCCCCCC=CCCCCCCCC, ,sn_9,c
CCCCCCCCC=CCCCCCCCC(=O)OCC(COP(=O)([O-])[O-])OC(=O)CCCCCCCC=CCCCCCCCC,CCCCCCCCC=CCCCCCCCC(=O)OCC(COP(=O)(O)O)OC(=O)CCCCCCCC=CCCCCCCCC,s_2961,erm
NC(=O)CCC(N)C(=O)[O-],NC(=O)CCC(N)C(=O)O,s_0999,c
O=C([O-])C(=O)C(C(=O)[O-])C(O)C(=O)O,O=C([O-])C(=O)C(C(=O)[O-])C(O)C(=O)[O-],s_4136,c
NC(N)=NCCCC(N)C(=O)[O-],NC(N)=NCCCC(N)C(=O)O,s_0965,c
CC(=O)[C@H](C)O,CC(=O)C(C)O,s_0020,c
CCCCCCC=CCCCCCCCC(=O)OCC(O)COP(=O)([O-])OCC([NH3+])C(=O)[O-],CCCCCCC=CCCCCCCCC(=O)OCC(O)COP(=O)(O)OCC(N)C(=O)O,s_3481,ce
Nc1c(NC2OC(COP(=O)(O)O)C(O)C2O)[nH]c(=O)[nH]c1=O, ,sn_10,c
Nc1ncnc2c1ncn2C1OC(COP(=O)(O)OP(=O)(O)OP(=O)(O)OCC2OC(n3cnc4c(N)ncnc43)C(O)C2O)C(O)C1O,Nc1ncnc2c1ncn2C1OC(COP(=O)(O)OP(=O)(O)OP(=O)(O)OCC2OC(n3cnc4c(N)ncnc43)C(O)C2O)C(O)C1O,s_4317,c
Nc1ccn(C2CC(O)C(COP(=O)([O-])OP(=O)([O-])[O-])O2)c(=O)n1,Nc1ccn(C2CC(O)C(COP(=O)(O)OP(=O)(O)O)O2)c(=O)n1,s_0587,c
C[n+]1c[nH]c2nc(N)[nH]c(=O)c21, ,sn_11,c
O=c1nc[nH]c2c1ncn2C1OC(COP(=O)([O-])O)C(O)C1O,O=c1[nH]cnc2c1ncn2C1OC(COP(=O)(O)O)C(O)C1O,s_0849,c
Nc1ncnc2c1ncn2C1OC(COP(=O)(O)O)C(O)[C@H]1O,Nc1ncnc2c1ncn2C1OC(COP(=O)(O)O)C(O)C1O,s_0423,c
[NH3+][C@@H](CO)C(=O)[O-],NC(CO)C(=O)O,s_1039,c
