Product name,Predicted reaction number,Predicted reaction Yeast-MetaTwin ID,Predicted reaction,Predicted genes of reaction
L-aspartate,1,rxn29,3-(4-hydroxyphenyl)pyruvate + L-aspartate => L-tyrosine + oxaloacetate,YHR208W or YLR438W or YIL087C or YER152C or YDR111C or YJR148W or YNR033W or YIL116W or YGR243W or YHR137W or YMR084W or YNR058W or YMR085W or YKL104C or YER137C or YHR162W or YOL140W or YGL202W or YKL106W or YFL030W or YLR089C or YLR201C or YLR027C or YJL060W or YOR184W or YGR019W or YLR333C or YDR204W
L-aspartate,2,rxn30,keto-phenylpyruvate + L-aspartate => L-phenylalanine + oxaloacetate,YHR208W or YLR438W or YIL087C or YER152C or YDR111C or YJR148W or YNR033W or YIL116W or YGR243W or YHR137W or YMR084W or YNR058W or YMR085W or YKL104C or YER137C or YHR162W or YOL140W or YGL202W or YKL106W or YFL030W or YLR089C or YLR201C or YLR027C or YJL060W or YOR184W or YGR019W or YLR333C or YDR204W
L-aspartate,3,rxn131,(S)-3-methyl-2-oxopentanoate + L-aspartate => L-isoleucine + oxaloacetate,YHR208W or YLR438W or YIL087C or YER152C or YDR111C or YJR148W or YNR033W or YIL116W or YGR243W or YHR137W or YMR084W or YNR058W or YMR085W or YKL104C or YER137C or YHR162W or YOL140W or YGL202W or YKL106W or YFL030W or YLR089C or YLR201C or YLR027C or YJL060W or YOR184W or YGR019W or YLR333C or YDR204W
L-aspartate,4,rxn142,L-aspartate + 3-mercaptopyruvate => L-cysteine + oxaloacetate,YHR208W or YLR438W or YIL087C or YER152C or YDR111C or YJR148W or YNR033W or YIL116W or YGR243W or YHR137W or YMR084W or YNR058W or YMR085W or YKL104C or YER137C or YHR162W or YOL140W or YGL202W or YKL106W or YFL030W or YLR089C or YLR201C or YLR027C or YJL060W or YOR184W or YGR019W or YLR333C or YDR204W
L-aspartate,5,rxn332,2-oxoglutarate + L-aspartate + oxygen => carbon dioxide + succinate + Threo-3-hydroxy-L-aspartate,YLL057C or YER051W or YKL195W
L-aspartate,6,rxn333,L-aspartate + oxaloacetate + oxygen => carbon dioxide + Threo-3-hydroxy-L-aspartate + malonate,YLL057C or YER051W or YKL195W
L-aspartate,7,rxn334,4-hydroxy-2-oxoglutarate + L-aspartate + oxygen => (S)-malate + carbon dioxide + Threo-3-hydroxy-L-aspartate,YLL057C or YER051W or YKL195W
L-aspartate,8,rxn335,2-oxobutanoate + L-aspartate + oxygen => carbon dioxide + Threo-3-hydroxy-L-aspartate + propionate,YLL057C or YER051W or YKL195W
L-aspartate,9,rxn386,H+ + L-aspartate => carbon dioxide + L-alanine,YNL169C or YGR087C or YNR043W or YLL028W or YNL052W or YDR380W or YDL080C or YLR044C or YKL088W or YKR072C or YEL021W or YOR128C or YKR097W or YOL052C or YKL184W or YDR539W or YER010C or YDR047W or YMR250W or YLR134W or YML004C or YJL003W or YHR112C or YAL012W or YAL039C or YPL098C or YGL184C or YFR055W or YKL087C or YNR018W
L-aspartate,10,rxn437,L-aspartate + phenylacetaldehyde => oxaloacetate + phenylethylamine,YHR208W or YLR438W or YIL087C or YER152C or YDR111C or YJR148W or YNR033W or YIL116W or YGR243W or YHR137W or YMR084W or YNR058W or YMR085W or YKL104C or YER137C or YHR162W or YOL140W or YGL202W or YKL106W or YFL030W or YLR089C or YLR201C or YLR027C or YJL060W or YOR184W or YGR019W or YLR333C or YDR204W
L-aspartate,11,rxn449,L-aspartate + Imidazole-4-acetaldehyde => oxaloacetate + histamine,YHR208W or YLR438W or YIL087C or YER152C or YDR111C or YJR148W or YNR033W or YIL116W or YGR243W or YHR137W or YMR084W or YNR058W or YMR085W or YKL104C or YER137C or YHR162W or YOL140W or YGL202W or YKL106W or YFL030W or YLR089C or YLR201C or YLR027C or YJL060W or YOR184W or YGR019W or YLR333C or YDR204W
L-aspartate,12,rxn572,4-hydroxy-2-oxoglutarate + L-aspartate => erythro-4-hydroxy-L-glutamic acid + H+ + oxaloacetate,YHR208W or YLR438W or YIL087C or YER152C or YDR111C or YJR148W or YNR033W or YIL116W or YGR243W or YHR137W or YMR084W or YNR058W or YMR085W or YKL104C or YER137C or YHR162W or YOL140W or YGL202W or YKL106W or YFL030W or YLR089C or YLR201C or YLR027C or YJL060W or YOR184W or YGR019W or YLR333C or YDR204W
L-aspartate,13,rxn744,L-aspartate + succinic semialdehyde => gamma-aminobutyrate + oxaloacetate,YHR208W or YLR438W or YIL087C or YER152C or YDR111C or YJR148W or YNR033W or YIL116W or YGR243W or YHR137W or YMR084W or YNR058W or YMR085W or YKL104C or YER137C or YHR162W or YOL140W or YGL202W or YKL106W or YFL030W or YLR089C or YLR201C or YLR027C or YJL060W or YOR184W or YGR019W or YLR333C or YDR204W
