Entry	Organism	Gene Names	Protein names	EC number
A0A0B7P3V8	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	TY4B-P YPLCTy4-1 POL YPL060C-A	Transposon Ty4-P Gag-Pol polyprotein (TY4A-TY4B) (Transposon Ty4 TYA-TYB polyprotein) [Includes: Capsid protein (CA); Ty4 protease (PR) (EC 3.4.23.-); Integrase (IN); Reverse transcriptase/ribonuclease H (RT) (RT-RH) (EC 2.7.7.49) (EC 2.7.7.7) (EC 3.1.26.4)]	2.7.7.49; 2.7.7.7; 3.1.26.4; 3.4.23.-
D6VTK4	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	STE2 YFL026W	Pheromone alpha factor receptor	
O13297	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	CET1 YPL228W P1433	mRNA-capping enzyme subunit beta (EC 3.6.1.74) (mRNA 5'-phosphatase) (mRNA 5'-triphosphate monophosphatase)	3.6.1.74
O13329	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	FOB1 HRM1 YDR110W YD9727.06	DNA replication fork-blocking protein FOB1	
O13516	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	RPS9A RPS13A YS11A YPL081W	Small ribosomal subunit protein uS4A (40S ribosomal protein S9-A) (RP21) (S13) (YP28) (YS11)	
O13527	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	TY1B-A YARCTy1-1 POL YAR009C	Truncated transposon Ty1-A Gag-Pol polyprotein (TY1B) (Transposon Ty1 TYB polyprotein) [Cleaved into: Integrase (IN) (Pol-p71) (p84) (p90); Reverse transcriptase/ribonuclease H (RT) (RT-RH) (EC 2.7.7.49) (EC 2.7.7.7) (EC 3.1.26.4) (Pol-p63) (p60)]	2.7.7.49; 2.7.7.7; 3.1.26.4
O13535	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	TY1B-H YHRCTy1-1 POL YHR214C-B	Transposon Ty1-H Gag-Pol polyprotein (Gag-Pol-p199) (TY1A-TY1B) (Transposon Ty1 TYA-TYB polyprotein) (p190) [Cleaved into: Capsid protein (CA) (Gag-p45) (p54); Ty1 protease (PR) (EC 3.4.23.-) (Pol-p20) (p23); Integrase (IN) (Pol-p71) (p84) (p90); Reverse transcriptase/ribonuclease H (RT) (RT-RH) (EC 2.7.7.49) (EC 2.7.7.7) (EC 3.1.26.4) (Pol-p63) (p60)]	2.7.7.49; 2.7.7.7; 3.1.26.4; 3.4.23.-
O13547	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	CCW14 ICWP SSR1 YLR390W-A YLR391W-A	Covalently-linked cell wall protein 14 (Inner cell wall protein)	
O13563	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	RPN13 DAQ1 YLR421C	26S proteasome regulatory subunit RPN13 (Proteasome non-ATPase subunit 13)	
O14467	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	MBF1 SUF13 YOR298C-A	Multiprotein-bridging factor 1 (Suppressor of frameshift mutations protein 13)	
