Product name,Predicted reaction number,Predicted reaction Yeast-MetaTwin ID,Predicted reaction,Predicted genes of reaction
L-asparagine,1,rxn56,chorismate + L-asparagine => 4-amino-4-deoxychorismate + L-aspartate,YJR109C or YGR124W or YGR061C or YBR208C or YML096W or YHR074W or YMR293C or YPR145W or YJL130C or YKL215C or YOR303W or YMR217W or YHR208W or YLR438W or YIL087C or YER152C or YDR111C or YJR148W or YNR033W or YIL116W or YGR243W or YHR137W or YMR084W or YNR058W or YMR085W or YKL104C or YER137C or YHR162W or YOL140W or YGL202W or YKL106W or YFL030W or YLR089C or YLR201C or YLR027C or YJL060W or YOR184W or YGR019W or YLR333C or YDR204W
L-asparagine,2,rxn144,5'-phosphoribosyl-N-formylglycineamide + ATP + H2O + L-asparagine => 5'-phosphoribosyl-N-formylglycineamidine + ADP + H+ + L-aspartate + phosphate,YJR109C or YGR124W or YGR061C or YBR208C or YML096W or YHR074W or YMR293C or YPR145W or YJL130C or YKL215C or YOR303W or YMR217W
L-asparagine,3,rxn181,L-asparagine + d-fructose => L-aspartate + D-Glucosamine,YHR208W or YLR438W or YIL087C or YER152C or YDR111C or YJR148W or YNR033W or YIL116W or YGR243W or YHR137W or YMR084W or YNR058W or YMR085W or YKL104C or YER137C or YHR162W or YOL140W or YGL202W or YKL106W or YFL030W or YLR089C or YLR201C or YLR027C or YJL060W or YOR184W or YGR019W or YLR333C or YDR204W
L-asparagine,4,rxn939,2-oxoglutarate + H+ + L-asparagine + NADH => L-aspartate + L-glutamate + NAD,YAL062W or YOR375C
L-asparagine,5,rxn945,2-oxoadipic acid + H+ + L-asparagine + NADH => L-2-aminoadipate + L-aspartate + NAD,YAL062W or YOR375C
L-asparagine,6,rxn949,H+ + L-asparagine + NADH + oxaloacetate => 2 L-aspartate + NAD,YAL062W or YOR375C
L-asparagine,7,rxn951,H+ + L-asparagine + NADH + 2-Oxoglutaramate => L-aspartate + L-glutamine + NAD,YAL062W or YOR375C
L-asparagine,8,rxn953,4-hydroxy-2-oxoglutarate + H+ + L-asparagine + NADH => erythro-4-hydroxy-L-glutamic acid + L-aspartate + NAD,YAL062W or YOR375C
L-asparagine,9,rxn1257,L-asparagine + Gly-Glu => L-glutamate + Gly-Asn,YNL167C or YDR177W or YOR161C or YPL007C or YDR073W or YBR082C or YFL009W or YMR269W or YJR090C or YGL058W or YMR153W or YPR125W or YLR078C or YOR269W or YOL054W or YGR159C or YOL013C or YBR280C or YJR097W or YDR059C or YKL084W or YHL010C or YDR485C or YEL012W or YOR358W or YJL095W or YLL036C or YDR313C or YLR394W or YML114C or YER068W or YFR018C or YOL027C or YBR290W or YER021W or YNL023C or YGL017W or YHL034C or YDR092W or YHR039C-A or YKR017C or YDR228C or YBR260C or YNL236W or YER125W or YBR062C or YML097C or YIL079C or YLR427W or YJR054W or YJR052W or YHR069C or YOR181W or YBR273C or YNL243W or YPR056W or YDR054C or YDR211W or YDR425W or YDL240W or YDR143C or YOR216C or YAL002W or YJR134C or YPL120W or YOL133W or YER143W or YEL019C or YDR388W or YDR460W or YMR026C or YOL044W or YDR323C or YLR007W or YDL013W or YPR030W or YML002W or YMR022W or YDR266C or YNL227C or YNL097C or YER016W or YGR009C or YKL057C or YMR276W or YJR055W or YMR147W or YKR007W or YGL164C or YEL022W or YCR033W or YKR078W or YDL074C or YOL051W or YGR184C or YIR018W or YNL260C or YIL062C or YER116C or YBR128C or YKL059C or YML068W or YBR275C or YOR156C or YCR066W or YOR339C or YDL195W or YLR299W or YNL159C or YPR093C or YCR084C
L-asparagine,10,rxn1477,ATP + H2O + L-asparagine + uridine 2'-phosphate => ADP + 2 H+ + L-aspartate + phosphate + cytidine 2'-phosphate,YNL119W or YBR218C or YBL039C or YOL058W or YGL062W or YDL141W or YNL220W or YJR103W or YOR209C or YGR204W or YGL234W or YBR084W
L-asparagine,11,rxn1482,"ATP + H2O + L-asparagine + 2',3'-cyclic UMP => ADP + 2 H+ + L-aspartate + phosphate + 2',3'-cyclic CMP",YNL119W or YBR218C or YBL039C or YOL058W or YGL062W or YDL141W or YNL220W or YJR103W or YOR209C or YGR204W or YGL234W or YBR084W
L-asparagine,12,rxn1655,L-asparagine + Gly-Gln => L-glutamine + Gly-Asn,YNL167C or YDR177W or YOR161C or YPL007C or YDR073W or YBR082C or YFL009W or YMR269W or YJR090C or YGL058W or YMR153W or YPR125W or YLR078C or YOR269W or YOL054W or YGR159C or YOL013C or YBR280C or YJR097W or YDR059C or YKL084W or YHL010C or YDR485C or YEL012W or YOR358W or YJL095W or YLL036C or YDR313C or YLR394W or YML114C or YER068W or YFR018C or YOL027C or YBR290W or YER021W or YNL023C or YGL017W or YHL034C or YDR092W or YHR039C-A or YKR017C or YDR228C or YBR260C or YNL236W or YER125W or YBR062C or YML097C or YIL079C or YLR427W or YJR054W or YJR052W or YHR069C or YOR181W or YBR273C or YNL243W or YPR056W or YDR054C or YDR211W or YDR425W or YDL240W or YDR143C or YOR216C or YAL002W or YJR134C or YPL120W or YOL133W or YER143W or YEL019C or YDR388W or YDR460W or YMR026C or YOL044W or YDR323C or YLR007W or YDL013W or YPR030W or YML002W or YMR022W or YDR266C or YNL227C or YNL097C or YER016W or YGR009C or YKL057C or YMR276W or YJR055W or YMR147W or YKR007W or YGL164C or YEL022W or YCR033W or YKR078W or YDL074C or YOL051W or YGR184C or YIR018W or YNL260C or YIL062C or YER116C or YBR128C or YKL059C or YML068W or YBR275C or YOR156C or YCR066W or YOR339C or YDL195W or YLR299W or YNL159C or YPR093C or YCR084C
L-asparagine,13,rxn2030,L-asparagine + beta-D-Fructose 6-phosphate => alpha-D-glucosamine 6-phosphate + L-aspartate,YHR208W or YLR438W or YIL087C or YER152C or YDR111C or YJR148W or YNR033W or YIL116W or YGR243W or YHR137W or YMR084W or YNR058W or YMR085W or YKL104C or YER137C or YHR162W or YOL140W or YGL202W or YKL106W or YFL030W or YLR089C or YLR201C or YLR027C or YJL060W or YOR184W or YGR019W or YLR333C or YDR204W
